bin	deg	k	value
0.05	25.0	3.0	0.7420289855072464
0.1	25.0	3.0	0.0
0.15	25.0	3.0	0.0
0.2	25.0	3.0	0.0
0.25	25.0	3.0	0.0
0.3	25.0	3.0	0.0
0.35	25.0	3.0	0.19903381642512077
0.4	25.0	3.0	0.0
0.45	25.0	3.0	0.0
0.5	25.0	3.0	0.0
0.55	25.0	3.0	0.0
0.6	25.0	3.0	0.0
0.65	25.0	3.0	0.0
0.7	25.0	3.0	0.038003220611916265
0.75	25.0	3.0	0.0
0.8	25.0	3.0	0.0
0.85	25.0	3.0	0.0
0.9	25.0	3.0	0.0
0.95	25.0	3.0	0.0
1.0	25.0	3.0	0.020933977455716585
0.05	25.0	4.0	0.5889295408946064
0.1	25.0	4.0	0.0
0.15	25.0	4.0	0.0
0.2	25.0	4.0	0.263188953145285
0.25	25.0	4.0	0.0
0.3	25.0	4.0	0.0
0.35	25.0	4.0	0.08037294936858255
0.4	25.0	4.0	0.0
0.45	25.0	4.0	0.0
0.5	25.0	4.0	0.0
0.55	25.0	4.0	0.039183288091585035
0.6	25.0	4.0	0.0
0.65	25.0	4.0	0.0
0.7	25.0	4.0	0.012274283016641095
0.75	25.0	4.0	0.0
0.8	25.0	4.0	0.0
0.85	25.0	4.0	0.00837955859789921
0.9	25.0	4.0	0.0
0.95	25.0	4.0	0.0
1.0	25.0	4.0	0.0076714268854006845
0.05	25.0	5.0	0.44155931293612455
0.1	25.0	5.0	0.0
0.15	25.0	5.0	0.2934447128287708
0.2	25.0	5.0	0.0
0.25	25.0	5.0	0.1247987117552335
0.3	25.0	5.0	0.0
0.35	25.0	5.0	0.06146001073537306
0.4	25.0	5.0	0.0
0.45	25.0	5.0	0.02747584541062802
0.5	25.0	5.0	0.0
0.55	25.0	5.0	0.017814009661835748
0.6	25.0	5.0	0.0
0.65	25.0	5.0	0.016505636070853463
0.7	25.0	5.0	0.0
0.75	25.0	5.0	0.005099302200751476
0.8	25.0	5.0	0.0
0.85	25.0	5.0	0.0036567364465915192
0.9	25.0	5.0	0.0
0.95	25.0	5.0	0.005099302200751476
1.0	25.0	5.0	0.0030864197530864196
0.05	25.0	6.0	0.32704613796324367
0.1	25.0	6.0	0.2911992920760035
0.15	25.0	6.0	0.15706244315714438
0.2	25.0	6.0	0.0
0.25	25.0	6.0	0.08580301031569805
0.3	25.0	6.0	0.04448286315927471
0.35	25.0	6.0	0.024769146312486175
0.4	25.0	6.0	0.0
0.45	25.0	6.0	0.02077068670266373
