topo	k	count	count_rand	count_rand_sd	count_gi	count_gi_rand	count_gi_rand_sd
Bg	3	64131.0	96170.73000000001	488.92	2542.0	1089.63	61.730000000000004
Bw	3	1631.0	136.4	12.01	207.0	25.3	4.64
Ch	4	434439.0	867297.5	5939.13	11507.0	4772.83	261.15
Ci	4	229181.0	401136.32999999996	3235.83	2222.0	971.5600000000001	92.41
Cj	4	30019.0	4933.97	598.83	1384.0	252.43	46.7
Cr	4	3853.0	1782.47	72.04	190.0	37.33	10.56
Cv	4	3013.0	20.4	11.14	286.0	30.939999999999998	13.27
DhC	5	2414348.0	5946165.470000001	47848.17	21423.0	5957.1	548.5
DhG	5	5178158.0	13176011.559999999	160156.46000000002	36515.0	10110.96	1338.96
DhK	5	239105.0	53990.26999999999	5056.92	4560.0	684.22	130.01
DiK	5	123603.0	88455.89	4100.07	1674.0	247.47000000000003	100.72
DiO	5	794036.0	1490867.86	19443.53	1042.0	366.6	83.0
DiS	5	132107.0	37251.75000000001	4975.530000000001	822.0	119.43999999999998	44.669999999999995
Di[	5	31774.0	405.85	251.99	731.0	59.09	38.02
DjG	5	244411.0	76335.26000000001	8226.170000000002	5558.0	731.8100000000001	180.48
DjK	5	56093.0	681.7	351.84	2403.0	204.57999999999998	102.47
DqK	5	7638.0	12513.1	258.74	241.0	24.6	8.07
Dq[	5	10164.0	709.41	113.45	372.0	23.85	20.86
DrW	5	4062.0	146.53	37.0	30.0	7.2	8.83
Dt[	5	2033.0	1.85	2.94	42.0	7.2	9.19
Dto	5	2602.0	74.41	22.97	36.0	3.6	1.97
Dtw	5	43.0	0.03	0.18	0.0	0.0	0.0
EhCG	6	13688841.0	41546221.53	635048.79	27868.0	3800.16	514.27
EhCO	6	30380271.0	92536124.19	1577781.21	49678.0	6241.5	1004.75
EhCW	6	1346707.0	365492.91	37553.08	6817.0	465.37000000000006	118.65
EhGO	6	18835548.0	60740112.870000005	1144769.58	37891.0	4992.43	844.26
EhGW	6	539022.0	486985.8	28485.68	1882.0	136.6	66.47
EhG_	6	40377388.0	126118643.03	3028083.59	62765.0	7574.130000000001	2250.75
EhGg	6	3319104.0	1276953.95	161498.08999999997	16345.0	1178.56	483.77
EhGw	6	354859.0	6620.37	3979.7200000000003	3094.0	145.44	111.77
EhKO	6	2200148.0	842524.4400000001	91158.37000000001	11865.0	766.3000000000002	197.11
EhKW	6	261708.0	4526.76	2481.3	2944.0	102.89999999999999	49.190000000000005
EiGW	6	334394.0	753483.71	26236.850000000002	2673.0	109.9	62.05000000000001
EiG_	6	13559127.0	45162989.27	937369.52	14033.0	1888.0700000000002	486.35
EiGg	6	1281835.0	353989.03	36665.35	3294.0	296.83	142.04
EiGo	6	591140.0	728275.7500000001	47800.56	1452.0	83.13	57.18000000000001
EiGw	6	133333.0	14613.100000000002	2692.8799999999997	887.0	28.21	33.64
EiKG	6	548050.0	535010.33	29939.369999999995	1653.0	135.64	77.32
EiKo	6	41900.0	3420.48	993.08	0.0	4.6	9.01
EiKw	6	2921.0	5.140000000000001	9.3	0.0	0.67	2.84
EiOg	6	1268034.0	1281671.44	79033.39000000001	3766.0	278.79	199.73999999999998
EiOw	6	103920.0	6265.9	1838.4	0.0	21.14	36.94
