N	rand_mean	rand_std	k
1.0	96671.0	0.0	3.0
2.0	96620.5	50.5	3.0
3.0	96593.67	56.04	3.0
4.0	96630.25	79.81	3.0
5.0	96590.8	106.4	3.0
6.0	96592.67	97.22	3.0
7.0	96570.57	105.03	3.0
8.0	96590.5	111.5	3.0
9.0	96586.78	105.65	3.0
10.0	96597.2	104.99	3.0
11.0	96593.73	100.7	3.0
12.0	96594.08	96.42	3.0
13.0	96605.23	100.37	3.0
14.0	96605.64	96.73	3.0
15.0	96596.0	100.17	3.0
16.0	96580.81	113.43	3.0
17.0	96579.71	110.14	3.0
18.0	96578.89	107.09	3.0
19.0	96579.68	104.28	3.0
20.0	96585.7	104.97	3.0
21.0	96591.24	105.39	3.0
22.0	96597.77	107.24	3.0
23.0	96598.61	104.95	3.0
24.0	96604.79	106.94	3.0
25.0	96599.6	107.82	3.0
26.0	96600.46	105.81	3.0
27.0	96601.3	103.92	3.0
28.0	96608.07	107.95	3.0
29.0	96606.86	106.27	3.0
30.0	96611.23	107.1	3.0
1.0	1278841.0	0.0	4.0
2.0	1279869.5	1028.5	4.0
3.0	1280008.67	862.52	4.0
4.0	1281018.75	1902.3	4.0
5.0	1280302.0	2224.84	4.0
6.0	1279785.0	2336.96	4.0
7.0	1279759.57	2164.5	4.0
8.0	1279693.0	2032.35	4.0
9.0	1280936.33	4004.81	4.0
10.0	1280991.6	3802.92	4.0
11.0	1281072.36	3634.92	4.0
12.0	1280891.5	3531.49	4.0
13.0	1281532.62	4055.17	4.0
14.0	1281370.36	3951.21	4.0
15.0	1281389.4	3817.9	4.0
16.0	1281101.56	3861.1	4.0
17.0	1280907.18	3825.67	4.0
18.0	1280309.11	4461.3	4.0
19.0	1280489.37	4409.15	4.0
20.0	1280111.6	4602.17	4.0
21.0	1280550.43	4901.31	4.0
22.0	1280342.59	4882.42	4.0
23.0	1280710.91	5078.0	4.0
24.0	1280695.21	4971.66	4.0
25.0	1280726.12	4873.56	4.0
26.0	1280746.0	4779.96	4.0
27.0	1280827.93	4709.17	4.0
28.0	1280849.61	4625.68	4.0
29.0	1280975.93	4594.12	4.0
30.0	1280964.23	4517.34	4.0
1.0	20997965.0	0.0	5.0
2.0	21077424.0	79459.0	5.0
3.0	21009853.33	115502.14	5.0
4.0	20955887.0	136903.81	5.0
5.0	20972366.4	126808.54	5.0
6.0	21001386.67	132707.26	5.0
7.0	21006782.0	123571.79	5.0
8.0	21006755.0	115590.85	5.0
9.0	20990895.78	117850.67	5.0
10.0	20995100.9	112512.44	5.0
11.0	21000408.91	108581.66	5.0
12.0	21010428.08	109140.74	5.0
13.0	20998837.46	112283.24	5.0
14.0	20992026.79	110950.43	5.0
15.0	21003087.13	114899.82	5.0
16.0	20999531.88	112100.15	5.0
17.0	20982440.82	128455.85	5.0
18.0	20979927.17	125266.13	5.0
19.0	20977592.95	122326.63	5.0
20.0	20977855.1	119234.72	5.0
21.0	20974794.57	117163.39	5.0
22.0	20976932.41	114888.08	5.0
23.0	20978652.91	112652.18	5.0
24.0	20979853.12	110430.4	5.0
25.0	20976768.6	109249.35	5.0
26.0	20985768.96	116196.08	5.0
27.0	20993010.19	119853.21	5.0
28.0	20995326.75	118307.47	5.0
29.0	20993153.93	116816.98	5.0
30.0	20996871.33	116585.1	5.0
1.0	383973296.0	0.0	6.0
2.0	385631554.5	1658258.5	6.0
3.0	386999587.33	2361406.75	6.0
4.0	385673246.25	3075666.33	6.0
5.0	384859263.6	3196568.43	6.0
6.0	384090039.0	3387266.43	6.0
7.0	383211474.29	3803386.34	6.0
8.0	381950310.38	4877629.55	6.0
9.0	382015265.67	4602341.7	6.0
10.0	381561215.6	4573712.65	6.0
11.0	381171300.91	4531828.4	6.0
12.0	381771065.92	4773144.84	6.0
13.0	382813145.69	5836226.78	6.0
14.0	383049965.93	5688379.86	6.0
15.0	382302939.27	6165482.25	6.0
16.0	382736515.12	6201384.41	6.0
17.0	382558225.24	6058347.85	6.0
18.0	382808306.0	5977263.39	6.0
19.0	383091890.42	5940945.7	6.0
20.0	382781788.7	5946191.42	6.0
21.0	382677779.1	5821501.23	6.0
22.0	382336936.73	5898226.14	6.0
23.0	382267958.39	5777644.8	6.0
24.0	382504407.25	5768551.16	6.0
25.0	382629225.88	5684984.41	6.0
26.0	382982053.12	5847066.26	6.0
27.0	382877018.7	5762707.07	6.0
28.0	382834011.79	5663276.75	6.0
29.0	382943978.21	5595117.64	6.0
30.0	382703773.33	5651113.44	6.0
