orf1	orf2	orf3	orf4	orf5	orf6
YDL003W	YDR308C	YER147C	YLR008C	YDR320C-A	YBR156C
YDL003W	YDR308C	YLR008C	YER147C	YDR320C-A	YBR156C
YDL003W	YDR308C	YLR008C	YDR180W	YDR320C-A	YBR156C
YDL003W	YDR308C	YDR180W	YLR008C	YDR320C-A	YBR156C
YDL003W	YLR008C	YER147C	YDR308C	YHR005C-A	YPR024W
YDL003W	YLR008C	YDR308C	YER147C	YHR005C-A	YPR024W
YDL003W	YLR008C	YDR308C	YDR180W	YHR005C-A	YPR024W
YDL003W	YLR008C	YDR180W	YDR308C	YHR005C-A	YPR024W
YDL003W	YLR008C	YHR005C-A	YPR024W	YBR091C	YER017C
YDL003W	YLR008C	YHR005C-A	YPR024W	YDL217C	YER017C
YDL003W	YLR008C	YHR005C-A	YPR024W	YOR297C	YER017C
YDL003W	YLR008C	YHR005C-A	YPR024W	YJL054W	YER017C
YDL003W	YLR008C	YHR005C-A	YPR024W	YKL141W	YER017C
YDL003W	YLR008C	YER147C	YHR005C-A	YPR024W	YER017C
YDL003W	YLR008C	YDR308C	YHR005C-A	YPR024W	YER017C
YDL003W	YLR008C	YDR180W	YHR005C-A	YPR024W	YER017C
YDL003W	YLR008C	YHR005C-A	YKL141W	YOR065W	YHR195W
YDL003W	YDR180W	YPL138C	YBR060C	YDR052C	YNL273W
YDL003W	YDR180W	YPL138C	YLL004W	YDR052C	YNL273W
YDL003W	YDR180W	YPL138C	YKL186C	YGL092W	YBL079W
YDL003W	YDR180W	YPL138C	YKL186C	YDL207W	YBL079W
YDL003W	YDR308C	YER147C	YDR320C-A	YML051W	YBR156C
YDL003W	YDR308C	YLR008C	YDR320C-A	YML051W	YBR156C
YDL003W	YDR308C	YDR180W	YDR320C-A	YML051W	YBR156C
YDR080W	YMR048W	YOR106W	YDR495C	YNL102W	YJR006W
YDR080W	YMR048W	YDR495C	YOR106W	YNL102W	YJR006W
YDR080W	YMR048W	YOR106W	YNL102W	YJR043C	YOR346W
YDR080W	YMR048W	YDR495C	YNL102W	YJR043C	YOR346W
YDR080W	YOR106W	YMR048W	YDR495C	YBR131W	YPL057C
YDR080W	YOR106W	YMR048W	YDR495C	YGL124C	YPL057C
YDR080W	YOR106W	YDR495C	YMR048W	YBR131W	YPL057C
YDR080W	YOR106W	YDR495C	YMR048W	YGL124C	YPL057C
YDR027C	YGL233W	YJL036W	YOR057W	YMR094W	YJR060W
YDR027C	YAL030W	YJL036W	YOR057W	YMR094W	YJR060W
YBR171W	YDR086C	YLR288C	YGL090W	YER173W	YPR120C
YBR171W	YDR086C	YLR288C	YGL090W	YLR263W	YPR120C
YBR171W	YDR086C	YLR288C	YGL090W	YMR159C	YPR120C
YBR171W	YDR086C	YLR288C	YGL090W	YIL139C	YPR120C
YBR171W	YDR086C	YLR288C	YIL139C	YER173W	YJR006W
YBR171W	YDR086C	YLR288C	YIL139C	YGL090W	YJR006W
YBR171W	YDR086C	YLR288C	YIL139C	YLR263W	YJR006W
YBR171W	YDR086C	YLR288C	YIL139C	YMR159C	YJR006W
YBR171W	YDR086C	YML105C	YLR288C	YGL090W	YPR120C
YBR171W	YDR086C	YML105C	YLR288C	YIL139C	YJR006W
YBR171W	YDR086C	YLR288C	YDL232W	YGL090W	YPR120C
YBR171W	YDR086C	YLR288C	YDL232W	YIL139C	YJR006W
YBR171W	YDR086C	YLR288C	YIL139C	YDR052C	YJR060W
YBR171W	YDR086C	YDL232W	YHR026W	YBR036C	YKL154W
YGL237C	YDR517W	YHR098C	YNL289W	YKL025C	YCR020C-A
YAR042W	YLR119W	YPL002C	YLR200W	YGL075C	YKL041W
YAR042W	YLR119W	YPL002C	YGL075C	YLR200W	YKL041W
YAR042W	YLR119W	YLR200W	YDR200C	YDR425W	YGL145W
YJR093C	YCR042C	YLR221C	YPR056W	YPL075W	YKR062W
YKR020W	YBL103C	YNR023W	YLR223C	YMR224C	YOR005C
YGR261C	YOR106W	YGL124C	YMR188C	YLR148W	YNL286W
YGR261C	YOR106W	YGL124C	YMR188C	YMR231W	YNL286W
YGR261C	YOR106W	YGL124C	YMR188C	YPL045W	YNL286W
YGR261C	YOR106W	YGL124C	YMR188C	YLR396C	YNL286W
YGR261C	YOR106W	YGL124C	YMR188C	YDR080W	YNL286W
YGR261C	YOR106W	YGL124C	YMR188C	YPL057C	YNL286W
YGR261C	YOR106W	YGL124C	YLR148W	YMR188C	YNL286W
YGR261C	YOR106W	YGL124C	YLR148W	YPL057C	YNL286W
YGR261C	YOR106W	YGL124C	YMR231W	YMR188C	YNL286W
YGR261C	YOR106W	YGL124C	YMR231W	YPL057C	YNL286W
YGR261C	YOR106W	YGL124C	YPL045W	YMR188C	YNL286W
YGR261C	YOR106W	YGL124C	YPL045W	YPL057C	YNL286W
YGR261C	YOR106W	YGL124C	YLR396C	YMR188C	YNL286W
YGR261C	YOR106W	YGL124C	YLR396C	YPL057C	YNL286W
YGR261C	YOR106W	YGL124C	YDR080W	YMR188C	YNL286W
YGR261C	YOR106W	YGL124C	YDR080W	YPL057C	YNL286W
YGR261C	YOR106W	YGL124C	YPL057C	YMR188C	YNL286W
YGR261C	YOR106W	YGL124C	YPL057C	YLR148W	YNL286W
YGR261C	YOR106W	YGL124C	YPL057C	YMR231W	YNL286W
YGR261C	YOR106W	YGL124C	YPL057C	YPL045W	YNL286W
YGR261C	YOR106W	YGL124C	YPL057C	YLR396C	YNL286W
YGR261C	YOR106W	YGL124C	YPL057C	YDR080W	YNL286W
YGR261C	YOR106W	YNL199C	YLR330W	YGL124C	YNL286W
YGR261C	YOR106W	YLR330W	YNL199C	YGL124C	YNL286W
YGR261C	YOR106W	YDR080W	YDL087C	YMR288W	YGL174W
YGR261C	YOR106W	YNL199C	YGL124C	YMR188C	YNL286W
YGR261C	YOR106W	YNL199C	YGL124C	YLR148W	YNL286W
YGR261C	YOR106W	YNL199C	YGL124C	YMR231W	YNL286W
YGR261C	YOR106W	YNL199C	YGL124C	YPL045W	YNL286W
YGR261C	YOR106W	YNL199C	YGL124C	YLR396C	YNL286W
YGR261C	YOR106W	YNL199C	YGL124C	YDR080W	YNL286W
YGR261C	YOR106W	YNL199C	YGL124C	YPL057C	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YMR188C	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YLR148W	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YMR231W	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YPL045W	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YLR396C	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YDR080W	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YPL057C	YNL286W
YDL040C	YAR042W	YLR119W	YGL075C	YDR310C	YBR060C
YDL040C	YAR042W	YLR119W	YGL075C	YDR310C	YLL004W
