orf1	orf2	orf3	orf4	orf5	orf6
YDL003W	YFR027W	YER147C	YDR308C	YLR045C	YOR217W
YDL003W	YFR027W	YER147C	YDR308C	YMR076C	YOR217W
YDL003W	YFR027W	YER147C	YGL097W	YLR045C	YOR217W
YDL003W	YFR027W	YER147C	YGL097W	YMR076C	YOR217W
YDL003W	YFR027W	YER147C	YLR045C	YDR308C	YOR217W
YDL003W	YFR027W	YER147C	YLR045C	YGL097W	YOR217W
YDL003W	YFR027W	YER147C	YLR045C	YLR008C	YOR217W
YDL003W	YFR027W	YER147C	YLR045C	YMR076C	YOR217W
YDL003W	YFR027W	YER147C	YLR008C	YLR045C	YOR217W
YDL003W	YFR027W	YER147C	YLR008C	YMR076C	YOR217W
YDL003W	YFR027W	YER147C	YMR076C	YDR308C	YOR217W
YDL003W	YFR027W	YER147C	YMR076C	YGL097W	YOR217W
YDL003W	YFR027W	YER147C	YMR076C	YLR045C	YOR217W
YDL003W	YFR027W	YER147C	YMR076C	YLR008C	YOR217W
YDL003W	YFR027W	YDR308C	YER147C	YLR045C	YOR217W
YDL003W	YFR027W	YDR308C	YER147C	YMR076C	YOR217W
YDL003W	YFR027W	YDR308C	YLR045C	YER147C	YOR217W
YDL003W	YFR027W	YDR308C	YLR045C	YDR180W	YOR217W
YDL003W	YFR027W	YDR308C	YDR180W	YLR045C	YOR217W
YDL003W	YFR027W	YDR308C	YMR076C	YER147C	YOR217W
YDL003W	YFR027W	YGL097W	YER147C	YLR045C	YOR217W
YDL003W	YFR027W	YGL097W	YER147C	YMR076C	YOR217W
YDL003W	YFR027W	YGL097W	YLR045C	YER147C	YOR217W
YDL003W	YFR027W	YGL097W	YLR045C	YDR180W	YOR217W
YDL003W	YFR027W	YGL097W	YDR180W	YLR045C	YOR217W
YDL003W	YFR027W	YGL097W	YMR076C	YER147C	YOR217W
YDL003W	YFR027W	YLR045C	YER147C	YDR308C	YOR217W
YDL003W	YFR027W	YLR045C	YER147C	YGL097W	YOR217W
YDL003W	YFR027W	YLR045C	YER147C	YLR008C	YOR217W
YDL003W	YFR027W	YLR045C	YER147C	YMR076C	YOR217W
YDL003W	YFR027W	YLR045C	YDR308C	YER147C	YOR217W
YDL003W	YFR027W	YLR045C	YDR308C	YDR180W	YOR217W
YDL003W	YFR027W	YLR045C	YGL097W	YER147C	YOR217W
YDL003W	YFR027W	YLR045C	YGL097W	YDR180W	YOR217W
YDL003W	YFR027W	YLR045C	YLR008C	YER147C	YOR217W
YDL003W	YFR027W	YLR045C	YLR008C	YDR180W	YOR217W
YDL003W	YFR027W	YLR045C	YLR008C	YMR076C	YOR217W
YDL003W	YFR027W	YLR045C	YDR180W	YDR308C	YOR217W
YDL003W	YFR027W	YLR045C	YDR180W	YGL097W	YOR217W
YDL003W	YFR027W	YLR045C	YDR180W	YLR008C	YOR217W
YDL003W	YFR027W	YLR045C	YDR180W	YMR076C	YOR217W
