orf1	orf2	orf3	orf4	orf5	orf6
YDL003W	YDR180W	YPL138C	YKL186C	YDL207W	YBL079W
YGR261C	YOR106W	YGL124C	YDR080W	YPL057C	YNL286W
YGR261C	YOR106W	YGL124C	YPL057C	YDR080W	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YLR396C	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YDR080W	YNL286W
YGR261C	YOR106W	YLR330W	YGL124C	YPL057C	YNL286W
YOR217W	YER173W	YIL139C	YPL194W	YDR004W	YDR052C
YOR217W	YER173W	YIL139C	YPL194W	YDR004W	YJR006W
YOR217W	YER173W	YIL139C	YPL194W	YDR004W	YJR043C
YOR217W	YER173W	YIL139C	YLR288C	YDR004W	YJR006W
YOR217W	YER173W	YIL139C	YLR288C	YDR004W	YJR043C
YOR217W	YER173W	YIL139C	YDR004W	YPL194W	YDR052C
YOR217W	YER173W	YIL139C	YDR004W	YPL194W	YJR006W
YOR217W	YER173W	YIL139C	YDR004W	YPL194W	YJR043C
YOR217W	YER173W	YIL139C	YDR004W	YLR288C	YJR006W
YOR217W	YER173W	YIL139C	YDR004W	YLR288C	YJR043C
YOR217W	YER173W	YPL194W	YJL090C	YBR098W	YDR052C
YOR217W	YER173W	YLR288C	YDR086C	YBR171W	YML105C
YOR217W	YER173W	YIL139C	YPL194W	YDR052C	YJR006W
YOR217W	YER173W	YIL139C	YPL194W	YDR052C	YJR043C
YOR217W	YER173W	YIL139C	YLR288C	YDR052C	YJR006W
YOR217W	YER173W	YIL139C	YLR288C	YDR052C	YJR043C
YOR217W	YER173W	YIL139C	YDR004W	YDR052C	YJR006W
YOR217W	YER173W	YIL139C	YDR004W	YDR052C	YJR043C
YLR086W	YBR156C	YIL106W	YMR094W	YGL061C	YOR373W
YLR086W	YBR156C	YIL106W	YGL061C	YMR094W	YOR373W
YBR128C	YLR200W	YKL002W	YLR360W	YDR200C	YLR119W
YBR128C	YLR200W	YLR360W	YKL002W	YDR200C	YLR119W
YER017C	YPR024W	YGR231C	YCR003W	YJL054W	YJL104W
YER017C	YPR024W	YCR003W	YGR231C	YJL054W	YJL104W
YER017C	YPR024W	YGR231C	YHR005C-A	YJL054W	YLR008C
YER017C	YPR024W	YGR231C	YHR005C-A	YGR181W	YLR008C
YER017C	YPR024W	YGR231C	YJL054W	YGR181W	YJL104W
YNL097C	YDR320C-A	YBR156C	YMR094W	YLR086W	YOR057W
YNL097C	YDR320C-A	YBR156C	YGL127C	YMR094W	YOR057W
YBR060C	YDR052C	YIL139C	YPL194W	YER173W	YJR006W
YBR060C	YDR052C	YIL139C	YPL194W	YER173W	YJR043C
YBR060C	YDR052C	YGL116W	YJR060W	YNL273W	YDR113C
YBR060C	YDR052C	YGL116W	YNL273W	YJR060W	YDR113C
YBR060C	YDR052C	YGL116W	YNL273W	YIL139C	YDR113C
YBR060C	YDR052C	YGL116W	YIL139C	YNL273W	YDR113C
YBR060C	YDR052C	YJR060W	YGL116W	YNL273W	YOL108C
YBR060C	YDR052C	YJR060W	YGL116W	YNL273W	YMR168C
YBR060C	YDR052C	YJR060W	YBR098W	YNL273W	YOL108C
YBR060C	YDR052C	YJR060W	YNL273W	YGL116W	YOL108C
YBR060C	YDR052C	YJR060W	YNL273W	YGL116W	YMR168C
YBR060C	YDR052C	YJR060W	YNL273W	YBR098W	YOL108C
YBR060C	YDR052C	YIL139C	YGL116W	YNL273W	YPL194W
YBR060C	YDR052C	YIL139C	YGL116W	YNL273W	YER173W
YBR060C	YDR052C	YIL139C	YGL116W	YNL273W	YJR043C
YBR060C	YDR052C	YIL139C	YJR060W	YNL273W	YPL194W
YBR060C	YDR052C	YIL139C	YNL273W	YGL116W	YPL194W
YBR060C	YDR052C	YIL139C	YNL273W	YGL116W	YER173W
YBR060C	YDR052C	YIL139C	YNL273W	YGL116W	YJR043C
YBR060C	YDR052C	YIL139C	YNL273W	YJR060W	YPL194W
YBR060C	YPR120C	YDR310C	YDR052C	YGL116W	YDR113C
YBR060C	YPR120C	YDR052C	YDR310C	YGL116W	YDR113C
YBR060C	YDR052C	YDR310C	YPR120C	YGL116W	YDR113C
YBR060C	YDR052C	YPR120C	YDR310C	YGL116W	YDR113C
YBR060C	YDR052C	YJR060W	YOL108C	YMR168C	YDR369C
YBR060C	YDR052C	YIL139C	YER173W	YPL194W	YOR217W
YBR060C	YDR052C	YIL139C	YER173W	YLR288C	YOR217W
YBR060C	YDR052C	YIL139C	YER173W	YJR006W	YOR217W
YBR060C	YDR052C	YIL139C	YER173W	YJR043C	YOR217W
YBR060C	YDR052C	YIL139C	YER173W	YDR004W	YOR217W
YBR060C	YDR052C	YPL138C	YNL273W	YNL102W	YJR006W
YBR060C	YDR052C	YPL138C	YNL273W	YNL102W	YJR043C
