ORF	N	degG	degGI	betwG	betwGI
Q0045	8	43	0	1.5821347564735493e-05	0.0
Q0085	6	23	0	5.894950960067899e-06	0.0
Q0130	1	13	0	3.293246800944265e-07	0.0
YAL001C	7	29	411	2.45299473318981e-05	7.684180793993473e-05
YAL002W	1684	18	1331	7.619619681437718e-06	0.0008565409256516777
YAL008W	15	8	195	2.4683262997769778e-06	1.0117150732308506e-05
YAL009W	31	14	928	2.696243619477293e-06	0.0004102194079009208
YAL010C	328	17	888	4.730936494297412e-06	0.0003099477323402201
YAL011W	131	43	1113	1.4894950895476153e-05	0.00046096739032922793
YAL012W	6	29	285	5.97876641753096e-06	2.00615622228384e-05
YAL014C	643	12	390	1.9361923705045515e-06	4.229862399521653e-05
YAL015C	15	18	359	9.296029197695457e-06	5.1298951699769836e-05
YAL017W	1442	50	227	6.291085488422407e-05	1.5035958022162414e-05
YAL018C	362	9	353	1.3489341242324494e-06	3.175498147017241e-05
YAL019W	5614	28	540	9.95567843927103e-06	9.70556039517079e-05
YAL020C	26	9	446	1.0820041787147964e-05	5.40885987738917e-05
YAL022C	16	8	263	1.5090108320870347e-06	2.1043708474433754e-05
YAL023C	321	36	454	4.284840181817247e-05	5.9656159996223484e-05
YAL025C	2	39	520	8.49871825597083e-06	0.00011922833271129012
YAL026C	19786	41	1563	3.354980344330451e-05	0.0010956510402809494
YAL027W	1441	39	183	1.8622479355987472e-05	9.216337791396542e-06
YAL029C	41	49	385	1.687007625959582e-05	5.150553155994239e-05
YAL030W	3559	32	163	2.362067454908808e-05	6.434240225247921e-06
YAL034W-A	3067	48	439	2.3234247145101057e-05	8.729476419789455e-05
YAL036C	10	39	293	1.6355842887105407e-05	2.135697707659155e-05
YAL040C	2296	25	557	1.656261015772478e-05	9.251304427246474e-05
YAL041W	354	45	98	2.2019272834189242e-05	2.4558848501659244e-06
YAL042W	42	33	318	2.5509840729657786e-05	3.330653643726327e-05
YAL043C	286	50	160	4.915783404685249e-05	6.772894638767995e-06
YAL044W-A	7	10	273	1.7269313066212027e-06	1.729119803032041e-05
YAL046C	91	23	568	5.8874419988848806e-05	0.00013514052413568018
YAL048C	136	14	855	8.500808048966817e-06	0.00029075586210033195
YAL053W	3018	34	271	3.449524831321473e-05	1.6254556198162658e-05
YAL055W	4858	9	767	9.798497007469852e-07	0.0002774149087917047
YAL056W	52	17	388	6.528478194879868e-06	4.642920981058714e-05
YAL058W	31	6	379	9.44285322591426e-06	3.322387181707123e-05
YAL059W	1002	36	364	2.385221432095777e-05	4.2214957827991054e-05
YAL062W	21	17	205	1.4560481945303338e-05	9.291572712779224e-06
YAL067C	3	5	250	1.8433257388630902e-07	1.5070603584105366e-05
YAR003W	84	23	927	1.1280631286588985e-05	0.0002980543249927946
YAR010C	250	21	0	8.217341854954112e-06	0.0
YAR028W	31	17	347	6.629577471637698e-05	3.187415561806928e-05
YAR031W	114	15	309	3.8885073728346044e-05	2.529562265723343e-05
YAR033W	21	17	481	2.2349275488690737e-05	8.251119862589273e-05
YAR042W	1	29	387	1.5329741868808967e-05	4.1288171157462506e-05
YAR066W	1	4	805	4.0515775003201827e-07	0.0003283795584589421
YAR071W	1	7	379	1.719777980149091e-06	3.502350767186085e-05
YBL001C	69	9	523	6.517766916807969e-07	0.00011824283225941117
YBL005W-A	370	6	0	1.2117797578643274e-06	0.0
YBL006C	3472	24	594	1.0209341304335876e-05	9.57572782850334e-05
YBL008W	338	27	1249	5.676182211644918e-06	0.0008026035288274605
YBL009W	2	11	761	1.1783467238620936e-06	0.000301587198558345
YBL010C	53	13	618	2.7320978671839646e-06	0.0001388153807470529
YBL011W	74	26	436	8.282675124635365e-06	4.644830387409199e-05
YBL015W	18	15	442	2.6523818939950283e-06	7.059954541742878e-05
YBL017C	7207	47	939	3.145798036123067e-05	0.00037370070781761613
YBL020W	45	10	1936	6.096885989342199e-06	0.002052363713391489
YBL021C	13	12	911	4.54316849935466e-06	0.0003670627919130227
YBL022C	107	39	176	6.054742537723089e-05	1.2861262953509864e-05
YBL024W	13	41	521	1.4416516055339871e-05	8.96148914213175e-05
YBL029W	29	6	293	8.566279095522939e-07	3.0447706265702966e-05
YBL031W	1817	17	802	7.925158679159308e-06	0.00026407046684921373
YBL034C	133	23	313	7.3123980191006125e-06	3.566383980199065e-05
YBL035C	13073	26	1053	1.3429937791008078e-05	0.0006332562858533568
YBL036C	86	14	459	5.150480275724339e-06	7.553027175324167e-05
YBL037W	15	35	389	2.1862500478204478e-05	5.756149526242674e-05
YBL038W	1025	45	312	2.3926098819405205e-05	3.015909951937727e-05
YBL040C	144	10	677	1.0617282988345535e-06	0.0002709177544089321
YBL041W	1398	31	1115	9.675255886131165e-06	0.0006359539058978759
YBL043W	191	16	349	1.1598266618182022e-05	4.539494338935724e-05
YBL044W	143	4	86	1.1247850792240765e-07	9.555812995573526e-07
YBL046W	2	16	242	2.532543775763242e-06	1.4834007121059466e-05
YBL050W	12162	45	860	2.8471600290998403e-05	0.00031371177680488414
YBL051C	116	23	863	2.468731465753625e-06	0.0002538412402873297
YBL052C	136	21	345	4.331968358297562e-06	3.052836256777629e-05
YBL054W	26	19	490	5.09011843828083e-06	8.526471054856334e-05
YBL056W	222	35	470	0.00010110605349334311	9.257769942310856e-05
YBL060W	19	9	209	4.4051413152039296e-06	1.0997820826314894e-05
YBL061C	378	40	273	2.5225080154970907e-05	1.3384045027381225e-05
YBL063W	25	21	253	5.577072242824205e-05	2.3223542569850838e-05
YBL064C	18	30	137	1.6757551074658266e-05	3.931274754345984e-06
YBL071W-A	878	24	809	7.688178182757587e-06	0.0002468218759787342
YBL074C	6	16	998	1.968865304472677e-06	0.0005756888217962498
YBL079W	1921	50	881	2.4464627972951646e-05	0.00027603477552916924
YBL081W	211	14	578	4.242719757483125e-06	0.00012203377202183311
YBL086C	180	8	291	6.790120642121864e-07	2.26750774798557e-05
YBL088C	647	28	253	1.934896186418155e-05	2.1029330518631546e-05
YBL091C-A	4	12	506	4.037608847464471e-06	0.00011251598707942543
YBL095W	3	8	281	2.1714044948841792e-06	2.287535072619507e-05
YBL097W	23	22	465	1.0080022291501918e-05	9.602801799512532e-05
YBL101C	2	18	395	5.142866943380536e-06	4.210667170376094e-05
YBL102W	5550	45	456	5.9457290530947373e-05	7.79388262997352e-05
YBL103C	3250	50	806	5.087659116959024e-05	0.00031448543258156885
YBL104C	3737	36	435	1.397570531507548e-05	5.25146265854552e-05
YBL106C	708	20	325	5.282422336344108e-06	3.460677429255634e-05
YBR002C	486	16	1407	1.8581526526079705e-05	0.000984364329248732
YBR004C	48	7	515	1.5639090754347979e-06	0.0001225709533754374
YBR015C	419	12	678	1.161340121236698e-06	0.0001611752498151929
YBR018C	70	13	703	2.091780362994718e-06	0.0002494409083653456
YBR019C	49	18	408	3.765307835888193e-06	5.07319538925148e-05
YBR020W	13	16	340	2.956685163388166e-06	4.252812248920006e-05
YBR023C	6369	35	446	5.1898610622381235e-05	5.625127421095141e-05
YBR024W	3	15	266	6.232835505593702e-06	2.1003531566794124e-05
YBR026C	762	10	864	1.1151514319698572e-06	0.0003589064253131778
YBR028C	1	22	316	6.234575445066252e-05	2.9067683823150934e-05
YBR029C	432	13	676	3.444353891884495e-06	0.0001666177570677496
YBR035C	274	20	820	9.243440315106593e-06	0.0002892741520321466
YBR036C	4582	48	1341	0.00011506231284589699	0.0008429703667771809
YBR037C	5	15	976	9.85003716073142e-06	0.0004333783358029591
YBR038W	95	20	666	7.20476214962009e-06	0.00016307968906112142
YBR041W	769	28	788	8.239106602091016e-06	0.00026776399801225397
YBR042C	10	15	188	2.546351494300242e-06	7.924821049280973e-06
YBR044C	10	21	368	2.8396734807519736e-05	3.806172064428322e-05
YBR045C	1	6	225	2.871832298436761e-06	1.328233813273445e-05
YBR046C	52	11	305	9.19284421260085e-07	2.6318642661141932e-05
YBR049C	222	50	2022	1.2502834482064248e-05	0.0022702688929879334
YBR052C	4	36	197	6.875867334232765e-05	1.2499549981056103e-05
YBR054W	12	24	123	2.8053274250811992e-05	2.5134639130790367e-06
YBR058C	447	23	457	1.534884266191212e-05	4.7697160521730674e-05
YBR058C-A	17	6	537	3.1389664529443437e-06	0.00010786528460251561
YBR060C	15609	49	276	2.087879953492327e-05	1.9634341181676697e-05
YBR065C	264	35	443	1.1883014713551398e-05	8.52506377856344e-05
YBR068C	20	29	176	3.954522707586129e-05	8.24691717513508e-06
YBR069C	114	43	138	5.7380967412432426e-05	4.745656625873685e-06
YBR073W	13	16	240	8.499913569309557e-06	1.52782858640557e-05
YBR077C	20	18	511	5.07898460545012e-05	7.264948709609473e-05
YBR078W	94	24	904	4.372786532238593e-06	0.00030886746931219587
YBR083W	535	27	272	1.4540270625049032e-05	2.039636649236026e-05
YBR085W	419	24	799	3.1482591146777004e-05	0.00029377318162103337
YBR086C	22	39	295	2.46351490038229e-05	1.947457908435078e-05
YBR087W	2550	44	524	3.335167479811373e-05	0.00011654801350473601
YBR093C	1	11	249	2.4963326626134588e-06	1.6156474434887063e-05
YBR094W	77	15	180	1.1470439275596978e-05	7.369822197168145e-06
YBR095C	39	37	931	1.2441299781009356e-05	0.00023437070443774394
YBR096W	2	5	432	3.085380186629025e-06	5.83699526449641e-05
YBR098W	11723	21	431	2.2010541903854093e-05	7.965725592254904e-05
YBR101C	628	17	627	1.053738214620692e-05	0.00013666826780219383
YBR103W	77	34	877	3.9459660018279345e-05	0.00023090562579750404
YBR107C	9844	33	355	2.1063806359214153e-05	3.429681616875605e-05
YBR108W	1	40	417	1.720410922015834e-05	5.8812048254486634e-05
YBR110W	921	38	941	8.855303211055065e-06	0.0004865476279417818
YBR111C	1	10	727	2.6722158400522322e-05	0.00025798569518355294
YBR114W	208	34	264	1.996028705620079e-05	1.7563936107913896e-05
YBR115C	15	14	0	5.133742937367434e-06	0.0
YBR117C	21	4	592	9.215422306175513e-07	0.00012831259781427714
YBR121C	8	39	465	8.066945734352206e-06	9.324221139767955e-05
YBR123C	15	22	517	4.033651520291769e-06	0.00010918773259941086
YBR125C	221	15	738	1.7601083890355135e-06	0.00018595582710709607
YBR128C	642	50	397	2.7812874000110712e-05	5.3314652159024054e-05
YBR130C	30	44	323	2.38370909356766e-05	3.3389637475394515e-05
YBR131W	1879	11	923	4.050079471165365e-06	0.0003811725404953084
YBR133C	8	21	409	2.1733374550110958e-05	3.5559665624248146e-05
YBR137W	46	13	359	2.079284447533014e-06	4.9135829495481136e-05
YBR138C	5	11	230	2.4054793752025484e-06	1.4126821771199867e-05
YBR139W	163	14	623	5.239855842260911e-06	0.0001885115737976977
YBR140C	298	17	210	5.338648404822736e-06	6.69729234810372e-06
YBR141C	4	9	797	1.7912286168259096e-06	0.00030202864880165945
YBR145W	1	8	471	1.899054543454226e-06	8.654764547982365e-05
YBR150C	7	15	329	2.4678421041573747e-06	4.4031427447348065e-05
YBR152W	198	31	304	5.001552021623752e-06	4.2968970256889005e-05
YBR155W	43	35	581	1.598057367280416e-05	0.00010691886186562929
YBR156C	10360	35	710	6.549349733457716e-05	0.0002055765816191841
YBR157C	222	18	640	1.5423630836593024e-05	0.00017743880483496425
YBR158W	12	16	462	6.2852333285467074e-06	8.16052841883699e-05
YBR162C	11	17	219	3.6552670805599917e-06	1.0916517996154759e-05
YBR164C	19413	28	690	2.3230374183389375e-05	0.00017341813322506274
YBR166C	42	12	623	3.594908070912808e-06	0.00013673337948504356
YBR169C	16	41	242	1.742599305513357e-05	1.7480543823779783e-05
YBR170C	8606	38	1498	3.690837048029788e-05	0.0011174698735384777
YBR171W	1602	30	1091	2.6048333471742582e-05	0.0004256343580527594
YBR172C	4	33	177	8.93050881337154e-06	6.1905372110844134e-06
YBR173C	1697	32	1071	3.528355031279436e-05	0.00047774600798744456
YBR175W	518	30	650	1.761654395385421e-05	0.0001318639913767468
YBR177C	174	37	451	2.320551368863249e-05	7.281546169380774e-05
YBR179C	122	23	609	8.983738518070488e-06	0.00016871359678099552
YBR180W	13	4	223	1.4900311271333082e-06	1.2381201100654853e-05
YBR182C	4	12	401	1.4910646846431072e-06	5.745199277867245e-05
YBR183W	1211	37	504	4.592207141348662e-05	0.00010861519855600821
YBR185C	2	19	551	1.3755822967450104e-05	9.453598645170838e-05
YBR186W	1	12	251	5.178689780922989e-06	2.297589109849253e-05
YBR187W	12	13	335	6.181991039210503e-06	3.7424254481113475e-05
YBR188C	162	27	234	1.3304352533928443e-05	1.4998421358609577e-05
YBR193C	295	48	996	4.2474986699376135e-05	0.00046083024733099126
YBR195C	170	17	351	2.16816966329931e-05	3.923424306335374e-05
YBR199W	51	12	234	9.114631853286987e-06	1.6705273101919792e-05
YBR201W	634	16	633	1.6944266384199268e-05	0.00012581665140923594
YBR205W	263	30	205	1.79453772506414e-05	1.2096258973078402e-05
YBR207W	681	47	210	7.367093374647386e-05	1.0412196360987506e-05
YBR212W	3	24	641	1.0407769937491708e-05	0.00016689486749910822
YBR214W	536	16	412	1.982917411768749e-05	5.749057446744888e-05
YBR215W	94	24	813	5.978505020209249e-06	0.00023346556614000527
YBR216C	6	7	594	9.172609672650297e-07	0.00016804739126319036
YBR218C	35	24	930	3.3103250506603023e-06	0.00040816144142553006
YBR222C	292	20	373	6.573347103826706e-06	5.1826412634281414e-05
YBR225W	33	27	386	1.1566303737825135e-05	4.6172679459945086e-05
YBR227C	3	9	461	1.076326519820256e-06	6.119110769885807e-05
YBR228W	220	10	307	3.908063742580685e-06	2.4998959094047003e-05
YBR229C	115	13	297	8.489588690432215e-06	1.858626967588167e-05
YBR230C	166	44	318	3.217875271404681e-05	3.0326412748870493e-05
YBR231C	1	24	1826	9.656300515550526e-06	0.0016814322146153121
YBR233W	3	25	198	5.404918866697478e-06	1.0246523313646938e-05
YBR233W-A	7	17	0	1.1672536857069628e-06	0.0
YBR234C	320	50	517	3.0186245495555398e-05	0.00013040894356565575
YBR235W	1	9	295	2.695096414854253e-06	2.4018694941889963e-05
YBR236C	21	9	546	6.116749672290519e-07	0.00018262219098056257
YBR237W	40	19	534	1.7552200579545446e-05	0.00012744288487907118
YBR241C	93	11	205	7.833983065191987e-07	1.3517262566442709e-05
YBR243C	2	13	260	4.5521061415448e-06	1.0441667299179798e-05
YBR246W	3	4	517	2.2978433209350164e-07	7.676729448617381e-05
YBR249C	12	27	119	3.2141407568219844e-06	3.6581998871837592e-06
YBR254C	2	20	1240	2.8626137800455796e-06	0.0007057642934841706
YBR255C-A	66	19	589	4.860546132919014e-05	0.0001783204826808262
YBR255W	11	6	558	6.080343243378286e-07	0.00011444109068690385
YBR259W	33	7	188	1.0579058676029806e-06	1.122524171878116e-05
YBR260C	329	28	693	1.7838414586397325e-05	0.0001958283336468283
YBR262C	854	26	649	1.2077353399249864e-05	0.00018097788165789106
YBR264C	829	15	245	1.0292978756736537e-05	1.5835564113108937e-05
YBR267W	168	35	690	6.151469247388938e-06	0.00019535955964340815
YBR270C	105	20	370	1.2262224893937386e-05	4.792354569860754e-05
YBR272C	116	38	310	9.014712498165153e-06	2.7905873991258426e-05
YBR273C	40	20	254	7.669912088679878e-06	2.1530464063479588e-05
YBR275C	512	29	215	1.6179927200628198e-05	1.2385716558548795e-05
YBR278W	16588	21	773	1.0541822231608394e-05	0.00024561840960984704
YBR280C	103	10	181	5.6196658287708016e-06	9.6648089563555e-06
YBR281C	161	15	223	8.089084920571173e-06	1.2877025489680295e-05
YBR282W	17	20	1404	3.1280374107695493e-06	0.0010323932635035965
YBR284W	1	6	267	1.8869689357808176e-06	2.0575807031444177e-05
YBR290W	2544	46	650	0.00013049450406345465	0.00016339520301789562
YBR293W	9	11	234	6.096535400621816e-06	1.2411600622958963e-05
YBR295W	8	11	301	8.505039382565835e-06	3.346217302470715e-05
YBR296C	28	8	357	3.42997226113308e-06	5.2755592474030454e-05
YBR296C-A	43	13	82	4.01572562719895e-06	8.914529270696843e-07
YBR298C	328	21	232	2.7181067170372413e-05	1.3809192356030685e-05
YCL001W	780	15	564	1.620360253630219e-05	0.00011547967433377252
YCL005W-A	270	13	1583	1.5623502529144068e-06	0.0012344795177504503
YCL009C	5	33	426	7.218157784563253e-06	5.810052285685476e-05
YCL014W	260	46	280	4.345085117204234e-05	2.1693773396713666e-05
YCL016C	443	11	903	1.8693489545187155e-06	0.00031455226727031206
YCL017C	317	30	1463	2.7302997489885748e-05	0.0009814747181928866
YCL018W	17	10	0	1.7895242080554846e-06	0.0
YCL025C	2108	43	826	7.862640771159383e-05	0.00029895006624635533
YCL027W	346	40	335	3.133585314553896e-05	4.2859039380155276e-05
YCL034W	11	15	212	5.10949509014042e-06	1.1029082632577586e-05
YCL043C	499	47	701	3.459048034112888e-05	0.0001787588162034564
YCL044C	498	16	1106	1.8834980001516057e-05	0.0005097157749478173
YCL045C	27	12	572	6.341540367057702e-05	0.00012126595171202322
YCL051W	2	15	401	2.578457008972739e-06	5.3730402043797846e-05
YCL052C	849	20	1277	3.520844636134069e-05	0.000832948803350877
YCL055W	97	10	316	1.7535944669968627e-05	3.178287970034052e-05
YCL056C	10	20	211	3.9447999985244055e-05	1.1938032817843742e-05
YCL057C-A	689	44	269	4.8960070163799404e-05	1.3803039009618454e-05
YCL061C	14978	50	599	2.375795943219229e-05	9.295042770162852e-05
YCL063W	51	12	211	2.5616352113698808e-06	1.0033646500876112e-05
YCL069W	123	2	205	6.344981695128905e-08	1.0637375220825024e-05
YCR003W	122	19	686	4.064335087285251e-06	0.00023099927921202502
YCR005C	59	21	411	3.083787877577607e-05	5.259603018065315e-05
YCR007C	152	12	273	2.1786756558323318e-05	2.285972305258399e-05
YCR010C	2	8	338	4.183502378869078e-06	4.803091562448218e-05
YCR011C	518	20	189	1.2572965363897913e-05	1.1048533976441463e-05
YCR014C	21	13	444	4.838267214983252e-06	7.40921072897526e-05
YCR015C	1	8	462	9.96655766955109e-07	8.06354813235724e-05
YCR016W	227	34	609	1.4961359168698643e-05	0.0001472561093451465
YCR020C-A	4	12	629	7.28754749630819e-06	0.0001402389442287651
YCR020W-B	11	34	644	2.8724384495042187e-05	0.00016617910792813967
YCR021C	139	34	441	9.009127054177965e-05	9.549389068176084e-05
YCR028C	1	10	0	5.980003845791389e-06	0.0
YCR033W	182	20	1510	4.31386068692838e-06	0.0010318780776773816
YCR035C	61	43	1032	2.107612896536805e-05	0.000581979510283946
YCR037C	4	8	318	5.02820063926458e-06	3.060456007970873e-05
YCR038C	2	12	0	8.406047256061339e-06	0.0
YCR039C	96	8	76	7.873019456093645e-07	8.750649498346143e-07
YCR040W	6	2	0	8.105611075900498e-08	0.0
YCR042C	51	42	0	1.634374291192633e-05	0.0
YCR043C	357	39	0	5.9512417351176996e-05	0.0
YCR046C	1	40	1957	6.986256276123262e-06	0.0022859506827892983
YCR047C	2	17	0	8.834966354158516e-07	0.0
YCR048W	579	30	714	3.245942081049087e-05	0.00021072853585831858
YCR052W	421	42	1518	9.790252806892595e-06	0.001472667750471133
YCR053W	13	21	1647	3.2084795651717797e-06	0.001348609440325908
YCR060W	2	17	428	3.830666026212309e-06	6.039824071268087e-05
YCR061W	617	28	734	9.683067881395365e-05	0.000252996079005244
YCR063W	1960	33	2009	1.4971336483378855e-05	0.002058628345856976
YCR065W	376	22	633	2.451671404204321e-05	0.00012940333368378383
YCR066W	513	25	510	1.2874481913552215e-05	0.00010020804946806417
YCR067C	33	7	492	1.6369488697203101e-06	0.0001045453408981518
YCR068W	491	7	1024	8.144537363166038e-06	0.000533069685566723
YCR073C	907	36	234	0.00010181606698678757	1.5874412418655204e-05
