ORF1	ORF2	ORF3	ORF4	ORF5	ORF6
YDR405W	YIL073C	YJL112W	none	none	none
YDR405W	YIL073C	YMR243C	none	none	none
YDR405W	YIL073C	YIL072W	none	none	none
YDR405W	YIL073C	YGL065C	none	none	none
YDR405W	YIL073C	YKL151C	none	none	none
YDR405W	YIL073C	YCL044C	none	none	none
YDR405W	YIL073C	YMR115W	none	none	none
YDR405W	YIL073C	YJR118C	none	none	none
YPL140C	YOR046C	YDL207W	none	none	none
YDR280W	YNR024W	YOR046C	none	none	none
YNR019W	YPL227C	YMR272C	none	none	none
YDR027C	YAL030W	YER143W	none	none	none
YGL237C	YNR031C	YPR085C	none	none	none
YGL237C	YNR031C	YJL128C	none	none	none
YGL237C	YNR031C	YIL147C	none	none	none
YGL237C	YNR031C	YGR287C	none	none	none
YGR278W	YPR101W	YKL095W	none	none	none
YGR278W	YDR416W	YKL095W	none	none	none
YGR278W	YPR101W	YCR063W	none	none	none
YGR278W	YPR101W	YDR088C	none	none	none
YGR278W	YPR101W	YDR482C	none	none	none
YGR278W	YDR416W	YDR074W	none	none	none
YGR278W	YKL095W	YNL245C	none	none	none
YGR278W	YKL095W	YCR063W	none	none	none
YGR278W	YKL095W	YDR482C	none	none	none
YGR278W	YMR288W	YGL174W	none	none	none
YGR278W	YKR086W	YDR088C	none	none	none
YGR278W	YKR086W	YDR482C	none	none	none
YER094C	YCR076C	YBR173C	none	none	none
YER094C	YBR173C	YLR199C	none	none	none
YER094C	YBR173C	YKL206C	none	none	none
YJR093C	YPR074C	YBR117C	none	none	none
YJR093C	YHR185C	YIL007C	none	none	none
YKR020W	YBL103C	YIR023W	none	none	none
YOR284W	YAL048C	YOL009C	none	none	none
YDR277C	YDR456W	YGR216C	none	none	none
YLR207W	YLR056W	YNL280C	none	none	none
YJR131W	YBR255C-A	YJL166W	none	none	none
YJR131W	YBR255C-A	YNR018W	none	none	none
YHR051W	YOR065W	YNR018W	none	none	none
YGR116W	YBR236C	YPR133C	none	none	none
YGR116W	YBR193C	YNR035C	none	none	none
YGR116W	YNL049C	YPL085W	none	none	none
YOL081W	YNL098C	YBR140C	none	none	none
YOL081W	YNL098C	YAL056W	none	none	none
YOL081W	YBR140C	YAL056W	none	none	none
YOL081W	YNL098C	YLR246W	none	none	none
YKL020C	YML013W	YGR082W	none	none	none
YBR177C	YML086C	YJL153C	none	none	none
YDR316W	YGR041W	YOR301W	none	none	none
YGR105W	YMR123W	YCL005W-A	none	none	none
YHR041C	YPR056W	YKR062W	none	none	none
YJL044C	YDR456W	YGR216C	none	none	none
YOR370C	YNL093W	YML051W	none	none	none
YOR370C	YML051W	YOL067C	none	none	none
YOR370C	YML051W	YCR065W	none	none	none
YER017C	YGR231C	YCL044C	none	none	none
