from	to	weight
subgroup_0	subgroup_47	1.0
subgroup_1	subgroup_2	6.0
subgroup_1	subgroup_3	54.0
subgroup_1	subgroup_25	29.0
subgroup_1	subgroup_26	6.0
subgroup_1	subgroup_56	34.0
subgroup_3	subgroup_25	31.0
subgroup_3	subgroup_49	9.0
subgroup_3	subgroup_54	5.0
subgroup_3	subgroup_104	62.0
subgroup_4	subgroup_40	12.0
subgroup_5	subgroup_27	7.0
subgroup_5	subgroup_127	11.0
subgroup_6	subgroup_31	7.0
subgroup_6	subgroup_44	5.0
subgroup_6	subgroup_52	29.0
subgroup_6	subgroup_81	23.0
subgroup_6	subgroup_84	20.0
subgroup_6	subgroup_85	5.0
subgroup_6	subgroup_134	22.0
subgroup_7	subgroup_10	1.0
subgroup_7	subgroup_125	1.0
subgroup_7	subgroup_134	1.0
subgroup_8	subgroup_50	172.0
subgroup_9	subgroup_11	219.0
subgroup_9	subgroup_15	262.0
subgroup_9	subgroup_31	32.0
subgroup_9	subgroup_65	1.0
subgroup_9	subgroup_81	34.0
subgroup_9	subgroup_82	22.0
subgroup_9	subgroup_84	44.0
subgroup_9	subgroup_89	1.0
subgroup_11	subgroup_15	61.0
subgroup_11	subgroup_24	162.0
subgroup_11	subgroup_28	212.0
subgroup_11	subgroup_31	91.0
subgroup_11	subgroup_60	119.0
subgroup_11	subgroup_87	21.0
subgroup_11	subgroup_102	2.0
subgroup_11	subgroup_107	33.0
subgroup_11	subgroup_135	1.0
subgroup_12	subgroup_68	2.0
subgroup_12	subgroup_72	10.0
subgroup_12	subgroup_110	4.0
subgroup_13	subgroup_54	3.0
subgroup_14	subgroup_58	1.0
subgroup_14	subgroup_61	12.0
subgroup_14	subgroup_88	4.0
subgroup_15	subgroup_24	174.0
subgroup_15	subgroup_31	74.0
subgroup_15	subgroup_56	103.0
subgroup_15	subgroup_63	25.0
subgroup_15	subgroup_108	108.0
subgroup_16	subgroup_84	1.0
subgroup_17	subgroup_65	1.0
subgroup_17	subgroup_86	3.0
subgroup_18	subgroup_33	16.0
subgroup_18	subgroup_40	15.0
subgroup_18	subgroup_72	99.0
subgroup_18	subgroup_87	3.0
subgroup_19	subgroup_21	1.0
subgroup_20	subgroup_84	1.0
subgroup_21	subgroup_47	9.0
subgroup_21	subgroup_84	24.0
subgroup_22	subgroup_75	4.0
subgroup_22	subgroup_84	9.0
subgroup_22	subgroup_125	3.0
subgroup_23	subgroup_37	71.0
subgroup_23	subgroup_50	830.0
subgroup_23	subgroup_64	1.0
subgroup_23	subgroup_103	1.0
subgroup_23	subgroup_111	3.0
subgroup_23	subgroup_112	2.0
subgroup_23	subgroup_118	9.0
subgroup_23	subgroup_135	3.0
subgroup_23	subgroup_138	1.0
subgroup_24	subgroup_28	65.0
subgroup_24	subgroup_55	93.0
subgroup_24	subgroup_72	572.0
subgroup_24	subgroup_100	436.0
subgroup_25	subgroup_26	4.0
subgroup_27	subgroup_30	3.0
subgroup_27	subgroup_45	2.0
subgroup_27	subgroup_120	4.0
subgroup_28	subgroup_31	70.0
subgroup_28	subgroup_60	111.0
subgroup_28	subgroup_67	37.0
subgroup_29	subgroup_30	2.0
subgroup_29	subgroup_69	2.0
subgroup_29	subgroup_70	2.0
subgroup_29	subgroup_120	4.0
subgroup_31	subgroup_58	1.0
subgroup_31	subgroup_81	2.0
subgroup_32	subgroup_107	2.0
subgroup_33	subgroup_61	2.0
subgroup_33	subgroup_77	15.0
subgroup_34	subgroup_106	360.0
subgroup_34	subgroup_107	6.0
subgroup_35	subgroup_36	305.0
subgroup_35	subgroup_50	736.0
subgroup_35	subgroup_61	124.0
subgroup_37	subgroup_91	46.0
subgroup_38	subgroup_39	175.0
subgroup_38	subgroup_62	12.0
subgroup_38	subgroup_77	274.0
subgroup_38	subgroup_100	249.0
subgroup_38	subgroup_129	60.0
subgroup_39	subgroup_106	75.0
subgroup_40	subgroup_47	18.0
subgroup_40	subgroup_50	1117.0
subgroup_40	subgroup_55	310.0
subgroup_40	subgroup_77	366.0
subgroup_40	subgroup_90	18.0
subgroup_41	subgroup_131	2.0
subgroup_42	subgroup_132	2.0
subgroup_43	subgroup_137	2.0
subgroup_46	subgroup_132	2.0
subgroup_47	subgroup_52	20.0
subgroup_48	subgroup_52	6.0
subgroup_48	subgroup_85	1.0
subgroup_50	subgroup_72	149.0
subgroup_50	subgroup_76	334.0
subgroup_50	subgroup_100	1413.0
subgroup_50	subgroup_106	735.0
subgroup_50	subgroup_118	21.0
subgroup_51	subgroup_87	1.0
subgroup_52	subgroup_86	1.0
subgroup_52	subgroup_98	5.0
subgroup_53	subgroup_58	2.0
subgroup_53	subgroup_72	35.0
subgroup_53	subgroup_111	7.0
subgroup_54	subgroup_60	19.0
subgroup_54	subgroup_100	13.0
subgroup_54	subgroup_104	32.0
subgroup_55	subgroup_90	8.0
subgroup_55	subgroup_107	11.0
subgroup_55	subgroup_119	4.0
subgroup_56	subgroup_61	17.0
subgroup_56	subgroup_83	17.0
subgroup_57	subgroup_60	4.0
subgroup_57	subgroup_96	21.0
subgroup_57	subgroup_108	19.0
subgroup_58	subgroup_98	1.0
subgroup_58	subgroup_128	1.0
subgroup_59	subgroup_104	3.0
subgroup_61	subgroup_76	1.0
subgroup_61	subgroup_78	13.0
