from	to
origin	group_0
origin	group_1
origin	group_2
origin	group_3
origin	group_4
origin	group_5
origin	group_6
origin	group_7
origin	group_8
origin	group_9
origin	group_10
origin	group_11
origin	group_12
group_0	subgroup_6
group_0	subgroup_44
group_0	subgroup_48
group_0	subgroup_52
group_0	subgroup_81
group_0	subgroup_85
group_0	subgroup_93
group_0	subgroup_98
group_0	subgroup_134
group_0	subgroup_136
group_1	subgroup_9
group_1	subgroup_17
group_1	subgroup_43
group_1	subgroup_65
group_1	subgroup_82
group_1	subgroup_86
group_1	subgroup_89
group_1	subgroup_137
group_2	subgroup_11
group_2	subgroup_24
group_2	subgroup_28
group_2	subgroup_51
group_2	subgroup_57
group_2	subgroup_60
group_2	subgroup_67
group_2	subgroup_87
group_2	subgroup_96
group_2	subgroup_102
group_2	subgroup_114
group_2	subgroup_123
group_2	subgroup_135
group_3	subgroup_1
group_3	subgroup_2
group_3	subgroup_3
group_3	subgroup_13
group_3	subgroup_15
group_3	subgroup_25
group_3	subgroup_26
group_3	subgroup_49
group_3	subgroup_54
group_3	subgroup_56
group_3	subgroup_59
group_3	subgroup_63
group_3	subgroup_66
group_3	subgroup_83
group_3	subgroup_95
group_3	subgroup_101
group_3	subgroup_104
group_3	subgroup_108
group_4	subgroup_23
group_4	subgroup_37
group_4	subgroup_64
group_4	subgroup_91
group_4	subgroup_103
group_4	subgroup_111
group_4	subgroup_112
group_4	subgroup_118
group_4	subgroup_138
group_5	subgroup_31
group_6	subgroup_4
group_6	subgroup_18
group_6	subgroup_33
group_6	subgroup_40
group_6	subgroup_55
group_6	subgroup_90
group_6	subgroup_119
group_7	subgroup_8
group_7	subgroup_35
group_7	subgroup_36
group_7	subgroup_50
group_7	subgroup_76
group_7	subgroup_100
group_7	subgroup_106
group_8	subgroup_14
group_8	subgroup_58
group_8	subgroup_61
group_8	subgroup_78
group_8	subgroup_79
group_8	subgroup_88
group_8	subgroup_128
group_9	subgroup_12
group_9	subgroup_29
group_9	subgroup_53
group_9	subgroup_68
group_9	subgroup_69
group_9	subgroup_70
group_9	subgroup_71
group_9	subgroup_72
group_9	subgroup_80
group_9	subgroup_94
group_9	subgroup_110
group_9	subgroup_116
group_9	subgroup_126
group_10	subgroup_5
group_10	subgroup_27
group_10	subgroup_30
group_10	subgroup_38
group_10	subgroup_39
group_10	subgroup_45
group_10	subgroup_62
group_10	subgroup_73
group_10	subgroup_77
group_10	subgroup_92
group_10	subgroup_97
group_10	subgroup_99
group_10	subgroup_109
group_10	subgroup_113
group_10	subgroup_115
group_10	subgroup_117
group_10	subgroup_120
group_10	subgroup_121
group_10	subgroup_122
group_10	subgroup_124
group_10	subgroup_127
group_10	subgroup_129
group_10	subgroup_133
group_11	subgroup_0
group_11	subgroup_7
group_11	subgroup_10
group_11	subgroup_16
group_11	subgroup_19
group_11	subgroup_20
group_11	subgroup_21
group_11	subgroup_22
group_11	subgroup_41
group_11	subgroup_42
group_11	subgroup_46
group_11	subgroup_47
group_11	subgroup_74
group_11	subgroup_75
group_11	subgroup_84
group_11	subgroup_105
group_11	subgroup_125
group_11	subgroup_130
group_11	subgroup_131
group_11	subgroup_132
group_12	subgroup_32
group_12	subgroup_34
group_12	subgroup_107
