name	full	short	degree
origin	NA	NA	NA
group_0	NA	NA	NA
group_1	NA	NA	NA
group_2	NA	NA	NA
group_3	NA	NA	NA
group_4	NA	NA	NA
group_5	NA	NA	NA
group_6	NA	NA	NA
group_7	NA	NA	NA
group_8	NA	NA	NA
group_9	NA	NA	NA
group_10	NA	NA	NA
group_11	NA	NA	NA
group_12	NA	NA	NA
subgroup_0	20S_proteasome	20S_proteasome	1
subgroup_1	AP-1_adaptor_complex	AP-1_adaptor	5
subgroup_2	AP-2_adaptor_complex	AP-2_adaptor	1
subgroup_3	AP-3_adaptor_complex	AP-3_adaptor	5
subgroup_4	ARGR_complex	ARGR	1
subgroup_5	Arp2/3_protein_complex	Arp2/3	2
subgroup_6	Atg20p/Snx4p/Snx41p_complex	Atg20p/Snx4p/Snx41p	7
subgroup_7	Bub1p/Bub3p_complex	Bub1p/Bub3p	3
subgroup_8	CAAX-protein_geranylgeranyltransferase_complex	CAAX-protein_geranylgeranyltransferase	1
subgroup_9	CBF3_complex	CBF3	8
subgroup_10	CCAAT-binding_factor_complex	CCAAT-binding_factor	1
subgroup_11	COMA_complex	COMA	10
subgroup_12	COMPASS_complex	COMPASS	3
subgroup_13	CORVET_complex	CORVET	1
subgroup_14	CURI_complex	CURI	3
subgroup_15	Cbf1p/Met4p/Met28p_complex	Cbf1p/Met4p/Met28p	7
subgroup_16	Cdc24p/Far1p/Gbetagamma_protein_complex	Cdc24p/Far1p/Gbetagamma	1
subgroup_17	Cdc28p/Clb3p_complex	Cdc28p/Clb3p	2
subgroup_18	Cdc28p/Clb5p_complex	Cdc28p/Clb5p	4
subgroup_19	Cdc28p/Clb6p_complex	Cdc28p/Clb6p	1
subgroup_20	Cdc28p/Cln1p_complex	Cdc28p/Cln1p	1
subgroup_21	Cdc28p/Cln2p_complex	Cdc28p/Cln2p	3
subgroup_22	Cdc28p/Cln3p_complex	Cdc28p/Cln3p	3
subgroup_23	Cdc48p_complex	Cdc48p	9
subgroup_24	Cdc7p/Dbf4p_complex	Cdc7p/Dbf4p	6
subgroup_25	Chs5p/Arf-1binding_proteins_(ChAPs)	Chs5p/Arf-(ChAPs)	3
subgroup_26	Clathrin	Clathrin	2
subgroup_27	Cox14p/Cox1p/Mss51p_complex	Cox14p/Cox1p/Mss51p	4
subgroup_28	Ctf3p_protein_complex	Ctf3p_protein_complex	5
subgroup_29	Cytochrome_bc1_complex_(Ubiquinol-cytochrome_c_reductase_complex,_complex_III)	Ubiquinol-cytochrome_c_reductase_III	4
subgroup_30	Cytochrome_c_oxidase_(complex_IV)	Cytochrome_c_oxidase	2
subgroup_31	DASH_complex	DASH	7
subgroup_32	DNA-directed_RNA_polymerase_I_complex	DNA-directed_RNA_pol_I	1
subgroup_33	DNA_ligase_IV	DNA_ligase_IV	3
subgroup_34	DNA_polymerase_delta_complex	DNA_polymerase_delta	2
subgroup_35	DNA_polymerase_epsilon_complex	DNA_polymerase_epsilon	3
subgroup_36	DNA_replication_factor_C_complex_(Ctf18p/Ctf8p/dcc1p)	DNA_repl_C_(Ctf18p/Ctf8p/dcc1p)	1
subgroup_37	DNA_replication_factor_C_complex_(Elg1p)	DNA_repl_(Elg1p)	2
subgroup_38	DNA_replication_factor_C_complex_(Rad24p)	DNA_repl_(Rad24p)	5
subgroup_39	DNA_replication_factor_C_complex_(Rcf1p)	DNA_repl_(Rcf1p)	2
subgroup_40	Dpb11p/Sld2p_complex	Dpb11p/Sld2p	7
subgroup_41	ESCRT_III_complex	ESCRT_III	1
subgroup_42	ESCRT_I_complex	ESCRT_I	1
subgroup_43	Elongator_complex	Elongator	1
subgroup_44	Exocyst_complex	Exocyst	1
subgroup_45	F0/F1_ATP_synthase_(complex_V)	F0/F1_ATP_synthase	1
subgroup_46	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p_complex	factor_arrest_complex	1
subgroup_47	Fig4p/Vac14p_complex	Fig4p/Vac14p	4
subgroup_48	GARP_complex	GARP	2
subgroup_49	GCR_complex	GCR	1
subgroup_50	GINS_complex	GINS	9
subgroup_51	Gip1p/Glc7p_complex	Gip1p/Glc7p	1
