orf	name	type	betw	regulation
Gsc2p/Smk1p	Gsc2p/Smk1p	C	0.00722	NA
20S_proteasome	20S_proteasome	C	0.01985	NA
AP-2_adaptor	AP-2_adaptor	C	0.02709	NA
ARGR	ARGR	C	0.0003	NA
Apg12p/Apg5p/Apg16	Apg12p/Apg5p/Apg16	C	0.00804	NA
Arp2/3	Arp2/3	C	0.00015	NA
Bni4p/Glc7p	Bni4p/Glc7p	C	0.0	NA
Bub1p/Bub3p	Bub1p/Bub3p	C	0.01375	NA
Bub2p/Bfa1p	Bub2p/Bfa1p	C	0.0003	NA
CAAX-protein_geranylgeranyltransferase	CAAX-protein_geranylgeranyltransferase	C	0.00019	NA
CCAAT-binding_factor	CCAAT-binding_factor	C	0.01527	NA
CCR4-NOT	CCR4-NOT	C	0.01013	NA
COMPASS	COMPASS	C	0.01461	NA
COPI	COPI	C	0.00943	NA
COPII	COPII	C	0.05559	NA
CORVET	CORVET	C	0.00116	NA
CURI	CURI	C	0.01467	NA
Cbf1p/Met4p/Met28p	Cbf1p/Met4p/Met28p	C	0.00059	NA
Cbp1p/Pet309p	Cbp1p/Pet309p	C	0.00175	NA
Cdc24p/Far1p/Gbetagamma	Cdc24p/Far1p/Gbetagamma	C	0.00448	NA
Cdc28p/Clb3p	Cdc28p/Clb3p	C	0.00521	NA
Cdc28p/Cln1p	Cdc28p/Cln1p	C	0.00515	NA
Chs5p/Arf-(ChAPs)	Chs5p/Arf-(ChAPs)	C	0.02985	NA
Cox14p/Cox1p/Mss51p	Cox14p/Cox1p/Mss51p	C	0.00087	NA
Ubiquinol-cytochrome_c_reductase_III	Ubiquinol-cytochrome_c_reductase_III	C	0.00113	NA
Cytochrome_c_oxidase	Cytochrome_c_oxidase	C	5e-05	NA
DASH	DASH	C	0.0	NA
DNA-directed_RNA_pol_III	DNA-directed_RNA_pol_III	C	0.00284	NA
DNA-directed_RNA_pol_II	DNA-directed_RNA_pol_II	C	0.01997	NA
DNA-directed_RNA_pol_I	DNA-directed_RNA_pol_I	C	0.0	NA
DNA_ligase_IV	DNA_ligase_IV	C	0.00447	NA
DNA_polymerase_delta	DNA_polymerase_delta	C	0.00261	NA
DNA_repl_(Rad24p)	DNA_repl_(Rad24p)	C	0.00239	NA
DSIF	DSIF	C	0.0037	NA
Dcs1p/Dcs2	Dcs1p/Dcs2	C	0.0	NA
Decapping_Enzyme	Decapping_Enzyme	C	0.01325	NA
Def1p/Rad26p	Def1p/Rad26p	C	0.00125	NA
Dig1p/Ste12p/Dig2p	Dig1p/Ste12p/Dig2p	C	0.00525	NA
