orf	name	type	betw
Fks1p/Rho1p	Fks1p/Rho1p	C	0.00029
Gsc2p/Smk1p	Gsc2p/Smk1p	C	0.00136
19/22S_regulator	19/22S_regulator	C	0.0035
20S_proteasome	20S_proteasome	C	0.00496
6-phosphofructokinase	6-phosphofructokinase	C	0.00281
AP-1_adaptor	AP-1_adaptor	C	0.09002
AP-2_adaptor	AP-2_adaptor	C	0.00012
AP-3_adaptor	AP-3_adaptor	C	7e-05
ARGR	ARGR	C	0.00049
Ada2p/Gcn5p/Ada3	Ada2p/Gcn5p/Ada3	C	0.00011
Apg12p/Apg5p/Apg16	Apg12p/Apg5p/Apg16	C	0.00069
Arg2p/Arg5,6p	Arg2p/Arg5,6p	C	0.0011
Arp2/3	Arp2/3	C	0.00056
Atg20p/Snx4p/Snx41p	Atg20p/Snx4p/Snx41p	C	0.00093
Aurora_B-INCENP_protein_kinase	Aurora_B-INCENP_protein_kinase	C	0.01914
Bi3_ribonucleoprotein	Bi3_ribonucleoprotein	C	0.00054
Bi4p/Nam2p	Bi4p/Nam2p	C	1e-05
Bni4p/Glc7p	Bni4p/Glc7p	C	0.0
Bub1p/Bub3p	Bub1p/Bub3p	C	0.00268
Bub2p/Bfa1p	Bub2p/Bfa1p	C	0.0
Bud14p/Glc7p	Bud14p/Glc7p	C	0.0
CAAX-protein_geranylgeranyltransferase	CAAX-protein_geranylgeranyltransferase	C	4e-05
CBF3	CBF3	C	1e-05
CCAAT-binding_factor	CCAAT-binding_factor	C	0.00148
CCR4-NOT	CCR4-NOT	C	0.00051
COMA	COMA	C	0.00158
COMPASS	COMPASS	C	2e-05
COPI	COPI	C	0.00337
COPII	COPII	C	0.00916
CORVET	CORVET	C	0.01095
CURI	CURI	C	0.07432
Car1p/Arg3p	Car1p/Arg3p	C	0.00039
Cbf1p/Met4p/Met28p	Cbf1p/Met4p/Met28p	C	0.00032
Cbp1p/Pet309p	Cbp1p/Pet309p	C	0.0004
Cdc24p/Far1p/Gbetagamma	Cdc24p/Far1p/Gbetagamma	C	0.00035
Cdc28p/Clb1p	Cdc28p/Clb1p	C	0.0002
Cdc28p/Clb2p	Cdc28p/Clb2p	C	0.00037
Cdc28p/Clb3p	Cdc28p/Clb3p	C	0.01421
Cdc28p/Clb4p	Cdc28p/Clb4p	C	0.0
Cdc28p/Clb5p	Cdc28p/Clb5p	C	0.00735
Cdc28p/Clb6p	Cdc28p/Clb6p	C	0.0
Cdc28p/Cln1p	Cdc28p/Cln1p	C	0.0
Cdc28p/Cln2p	Cdc28p/Cln2p	C	0.0
Cdc28p/Cln3p	Cdc28p/Cln3p	C	0.00492
Cdc42p/Ste20p	Cdc42p/Ste20p	C	0.00561
Cdc48p	Cdc48p	C	0.00012
Cdc73p/Paf1p	Cdc73p/Paf1p	C	0.00279
Cdc7p/Dbf4p	Cdc7p/Dbf4p	C	0.10408
Chs5p/Arf-(ChAPs)	Chs5p/Arf-(ChAPs)	C	0.00305
Chz1p/Htz1p/Htb1p	Chz1p/Htz1p/Htb1p	C	0.03556
Clathrin	Clathrin	C	0.00078
Cox14p/Cox1p/Mss51p	Cox14p/Cox1p/Mss51p	C	0.00062
Csh1p/Csg2p	Csh1p/Csg2p	C	0.00105
Csm1p/Lrs4p	Csm1p/Lrs4p	C	0.00148
Ctf3p_protein_complex	Ctf3p_protein_complex	C	1e-05
Cul3p-RING_ub_ligase	Cul3p-RING_ub_ligase	C	3e-05
Ubiquinol-cytochrome_c_reductase_III	Ubiquinol-cytochrome_c_reductase_III	C	8e-05
Cytochrome_c_oxidase	Cytochrome_c_oxidase	C	0.00052
DASH	DASH	C	0.00055
DNA-directed_RNA_pol_III	DNA-directed_RNA_pol_III	C	0.00078
DNA-directed_RNA_pol_II	DNA-directed_RNA_pol_II	C	0.02008
DNA-directed_RNA_pol_I	DNA-directed_RNA_pol_I	C	0.00014
DNA_ligase_IV	DNA_ligase_IV	C	0.00038
DNA_polymerase_delta	DNA_polymerase_delta	C	0.00045
DNA_polymerase_epsilon	DNA_polymerase_epsilon	C	7e-05
DNA_repl_A	DNA_repl_A	C	3e-05
DNA_repl_C_(Ctf18p/Ctf8p/dcc1p)	DNA_repl_C_(Ctf18p/Ctf8p/dcc1p)	C	0.00012
DNA_repl_(Elg1p)	DNA_repl_(Elg1p)	C	0.00039
DNA_repl_(Rad24p)	DNA_repl_(Rad24p)	C	0.00154
DNA_repl_(Rcf1p)	DNA_repl_(Rcf1p)	C	0.0008
DSIF	DSIF	C	0.00016
Dcs1p/Dcs2	Dcs1p/Dcs2	C	0.00035
Decapping_Enzyme	Decapping_Enzyme	C	0.00055
Def1p/Rad26p	Def1p/Rad26p	C	2e-05
Dig1p/Ste12p/Dig2p	Dig1p/Ste12p/Dig2p	C	0.0002
Dop1p/Mon2p	Dop1p/Mon2p	C	0.01526
Dpb11p/Sld2p	Dpb11p/Sld2p	C	0.00152
Dsl1p	Dsl1p	C	0.00736
EGO	EGO	C	0.04338
EKC/KEOPS_protein	EKC/KEOPS_protein	C	0.00397
ER_V-ATPase_assembly	ER_V-ATPase_assembly	C	0.0439
ESCRT_III	ESCRT_III	C	0.00274
ESCRT_II	ESCRT_II	C	0.00059
ESCRT_I	ESCRT_I	C	0.0003
Eisosome	Eisosome	C	0.00089
Ela1p/Elc1p	Ela1p/Elc1p	C	0.00163
Elongator	Elongator	C	0.00054
Erv41p/Erv46p	Erv41p/Erv46p	C	0.00289
Esp1p/Pds1p	Esp1p/Pds1p	C	0.00138
Exocyst	Exocyst	C	0.00066
F0/F1_ATP_synthase	F0/F1_ATP_synthase	C	0.00017
FACT	FACT	C	0.00091
FBP_degradation	FBP_degradation	C	0.0177
factor_arrest_complex	factor_arrest_complex	C	0.00416
Fatty_Acid_Import	Fatty_Acid_Import	C	1e-05
Fig4p/Vac14p	Fig4p/Vac14p	C	0.00013
Fth1p/Fet5p	Fth1p/Fet5p	C	9e-05
GAL3p/GAL80p	GAL3p/GAL80p	C	0.0
GAL4p/GAL80p	GAL4p/GAL80p	C	0.0
GARP	GARP	C	0.0
GCR	GCR	C	0.00011
GET	GET	C	2e-05
GINS	GINS	C	0.00022
GPI-anchor_transamidase	GPI-anchor_transamidase	C	0.00107
GSE	GSE	C	0.00024
GSH_degradosomal	GSH_degradosomal	C	0.00084
Gac1p/Glc7p	Gac1p/Glc7p	C	0.00468
Gcd10p/Gcd14p	Gcd10p/Gcd14p	C	2e-05
Gcn1p/Gcn20p	Gcn1p/Gcn20p	C	0.00798
GGTase_II	GGTase_II	C	7e-05
Gip1p/Glc7p	Gip1p/Glc7p	C	0.00043
Golgi_transport	Golgi_transport	C	0.00017
Grh1p/Bug1p	Grh1p/Bug1p	C	0.00011
Gyl1p/Gyp5p	Gyl1p/Gyp5p	C	8e-05
H+-transporting_ATPase,_Golgi	H+-transporting_ATPase,_Golgi	C	1e-05
H+-transporting_ATPase,_vacuolar	H+-transporting_ATPase,_vacuolar	C	0.00037
HAT-B	HAT-B	C	2e-05
HIR	HIR	C	3e-05
HMC	HMC	C	2e-05
HOPS	HOPS	C	0.0
Holliday_junction_resolvase	Holliday_junction_resolvase	C	0.0
Hop2p/Mnd1p	Hop2p/Mnd1p	C	0.0
Hse1p/Vps27p	Hse1p/Vps27p	C	0.00012
Hym1p/Kic1p/Sog2p	Hym1p/Kic1p/Sog2p	C	0.00023
ISW1a	ISW1a	C	3e-05
ISW1b	ISW1b	C	6e-05
Ino2p/Ino4p	Ino2p/Ino4p	C	9e-05
Ino80p	Ino80p	C	0.00182
Isocitrate_dehydrogenase	Isocitrate_dehydrogenase	C	9e-05
Kel1p/Kel2p/Lte1p	Kel1p/Kel2p/Lte1p	C	0.00018
Kel1p/Kel2p	Kel1p/Kel2p	C	1e-05
Kornberg's_mediator	Kornberg's_mediator	C	6e-05
Ku	Ku	C	0.00016
LMA1	LMA1	C	0.00072
Lge1p/Bre1p	Lge1p/Bre1p	C	0.00087
MBF	MBF	C	5e-05
MIND	MIND	C	0.00053
MRX	MRX	C	0.04499
MSH2p/MSH3p	MSH2p/MSH3p	C	0.00029
MSH2p/MSH6p	MSH2p/MSH6p	C	7e-05
Mad1p/Mad2p	Mad1p/Mad2p	C	0.00019
Mcm2-7	Mcm2-7	C	0.00297
Mdm12p/Mmm1p/Mdm10p	Mdm12p/Mmm1p/Mdm10p	C	0.00574
Mei5p/Sae3p	Mei5p/Sae3p	C	1e-05
Met4p/Met28p/Met31p	Met4p/Met28p/Met31p	C	0.00022
Met4p/Met28p/Met32p	Met4p/Met28p/Met32p	C	0.00022
Mgm1p/Ugo1p/Fzo1p	Mgm1p/Ugo1p/Fzo1p	C	0.0
Mks1p/Rtg2p	Mks1p/Rtg2p	C	0.0
Mlh1p/Mlh2p	Mlh1p/Mlh2p	C	0.00015
Mlh1p/Mlh3p	Mlh1p/Mlh3p	C	0.00137
Mlh1p/Pms1p	Mlh1p/Pms1p	C	0.00014
Mob1p/Dbf2p	Mob1p/Dbf2p	C	2e-05
Mob2p/Cbk1p	Mob2p/Cbk1p	C	0.00112
Mon1p/Ccz1p	Mon1p/Ccz1p	C	0.00361
Mot1p	Mot1p	C	0.00322
Mps2p/Bbp1p	Mps2p/Bbp1p	C	3e-05
Mst27p/Mst28p	Mst27p/Mst28p	C	9e-05
Mtk1p/Pbp1p	Mtk1p/Pbp1p	C	4e-05
Mto1p/Mss1p	Mto1p/Mss1p	C	2e-05
Mtr2p/Mex67p	Mtr2p/Mex67p	C	3e-05
NC2	NC2	C	0.0002
NatA	NatA	C	2e-05
