from	to	type	weight	strength
YBR152W	YMR240C	PPI	1	0
YDR482C	YMR240C	PPI	1	0
YDR482C	YKL095W	PPI	1	0
YDR482C	YPR101W	PPI	1	0
YDR482C	YCR063W	PPI	1	0
YDR482C	YKR086W	PPI	1	0
YDR088C	YPR101W	PPI	1	0
YDR088C	YBR065C	PPI	1	0
YDR088C	YKR086W	PPI	1	0
YKL098W	YDR416W	PPI	1	0
YBR065C	YPR101W	PPI	1	0
YBR065C	YKR086W	PPI	1	0
YBR065C	YKL095W	PPI	1	0
YKL095W	YPR101W	PPI	1	0
YKL095W	YDR416W	PPI	1	0
YKL095W	YGR278W	PPI	1	0
YKL095W	YBR188C	PPI	1	0
YKL095W	YKR086W	PPI	1	0
YKL095W	YCR063W	PPI	1	0
YKL095W	YDR163W	PPI	1	0
YKL095W	YNL245C	PPI	1	0
YGR278W	YPR101W	PPI	1	0
YGR278W	YDR416W	PPI	1	0
YGR278W	YKR086W	PPI	1	0
YNL252C	YCR063W	PPI	1	0
YBR188C	YDR416W	PPI	1	0
YBR188C	YPR101W	PPI	1	0
YBR188C	YKR086W	PPI	1	0
YBR188C	YNL245C	PPI	1	0
YCR063W	YPR101W	PPI	1	0
YCR063W	YKR086W	PPI	1	0
YMR240C	YPR101W	PPI	1	0
YMR240C	YGL174W	PPI	1	0
YDR416W	YPR101W	PPI	1	0
YDR416W	YKR086W	PPI	1	0
YDR416W	YGR093W	PPI	1	0
YNL245C	YKR086W	PPI	1	0
YPR101W	YDR163W	PPI	1	0
YPR101W	YKR086W	PPI	1	0
YKR086W	YDR163W	PPI	1	0
YGR093W	YKL149C	PPI	1	0
YBR152W	YPR101W	GIneg	-0.271	0.15
YBR152W	YDR416W	GIneg	-0.3	0.15
YBR152W	YCR063W	GIneg	-0.09	0.15
YBR152W	YGL174W	GIneg	-0.354	0.15
YBR152W	YNL252C	GIneg	-0.10300000000000001	0.15
YDR482C	YDR163W	GIneg	-0.552	0.15
YDR482C	YBR188C	GIneg	-0.08900000000000001	0.15
YDR482C	YPR101W	GIneg	-0.284	0.15
YDR482C	YCR063W	GIpos	0.255	0.15
YDR482C	YGL174W	GIneg	-0.395	0.15
YDR482C	YKR086W	GIneg	-0.075	0.15
YDR482C	YDR088C	GIneg	-0.578	0.15
YDR482C	YKL095W	GIneg	-0.20800000000000002	0.15
YDR482C	YNL245C	GIneg	-0.267	0.15
YDR482C	YGR278W	GIneg	-0.08	0.15
YDR088C	YBR188C	GIneg	-0.09699999999999999	0.15
YDR088C	YPR101W	GIneg	-0.155	0.15
YDR088C	YDR416W	GIneg	-0.316	0.15
YDR088C	YCR063W	GIneg	-0.22399999999999998	0.15
YDR088C	YGL174W	GIneg	-0.122	0.15
YDR088C	YKR086W	GIneg	-0.166	0.15
YDR088C	YNL252C	GIneg	-0.222	0.15
YDR088C	YBR065C	GIneg	-0.45799999999999996	0.15
YDR088C	YGR278W	GIneg	-0.18600000000000003	0.15
YKL098W	YDR416W	GIpos	0.087	0.15
YKL098W	YKR086W	GIpos	0.055	0.15
YKL098W	YGR093W	GIneg	-0.098	0.15
YBR065C	YDR416W	GIneg	-0.494	0.15
