ORF1	ORF2	ORF3	ORF4	ORF5	ORF6	stress
YDR361C	YPL208W	YER117W	none	none	none	Heat_shock_1
YDR361C	YMR021C	YER117W	none	none	none	Heat_shock_1
YKL095W	YDR482C	YBR188C	none	none	none	Heat_shock_1
YDR383C	YML051W	YOR370C	none	none	none	Heat_shock_1
YGR082W	YML013W	YBR177C	none	none	none	Heat_shock_1
YJR042W	YKR082W	YML103C	none	none	none	Heat_shock_1
YNL172W	YPR171W	YDL169C	none	none	none	Heat_shock_1
YNL172W	YPR171W	YGR131W	none	none	none	Heat_shock_1
YBR267W	YIR026C	YPR164W	none	none	none	Heat_shock_1
YBR267W	YIR026C	YKL186C	none	none	none	Heat_shock_1
YBR267W	YIR026C	YOL063C	none	none	none	Heat_shock_1
YCR079W	YGL062W	YBR218C	none	none	none	Heat_shock_1
YDL225W	YNL116W	YJR092W	none	none	none	Heat_shock_1
YDL225W	YHR033W	YPL022W	none	none	none	Heat_shock_1
YDL225W	YNL116W	YPL022W	none	none	none	Heat_shock_1
YDL225W	YJR092W	YOR231W	none	none	none	Heat_shock_1
YDR069C	YAR003W	YKL041W	none	none	none	Heat_shock_1
YDR069C	YKL041W	YPR173C	none	none	none	Heat_shock_1
YDR416W	YKL095W	YGR093W	none	none	none	Heat_shock_1
YDR416W	YKL095W	YKL098W	none	none	none	Heat_shock_1
YDR416W	YGR093W	YKL098W	none	none	none	Heat_shock_1
YDR416W	YKL095W	YNL245C	none	none	none	Heat_shock_1
YDR416W	YKL095W	YDR163W	none	none	none	Heat_shock_1
YDR416W	YKR086W	YDR088C	none	none	none	Heat_shock_1
YDR416W	YGR093W	YKL149C	none	none	none	Heat_shock_1
YBR218C	YGL062W	YML058W	none	none	none	Heat_shock_1
YJL005W	YLR200W	YLR212C	none	none	none	Heat_shock_1
YLL022C	YER161C	YHL025W	none	none	none	Heat_shock_1
YNL119W	YHR111W	YMR065W	none	none	none	Heat_shock_1
YDR168W	YER045C	YML041C	none	none	none	Heat_shock_1
YDR168W	YER045C	YNL091W	none	none	none	Heat_shock_1
