ORF Complex
YKR068C TRAPP_complex
YML077W TRAPP_complex
YDR108W TRAPP_complex
YGR166W TRAPP_complex
YDR407C TRAPP_complex
YMR218C TRAPP_complex
YBR254C TRAPP_complex
YDR246W TRAPP_complex
YDR472W TRAPP_complex
YOR115C TRAPP_complex
YNL021W histone_deacetylase_complex
YDR295C histone_deacetylase_complex
YPR179C histone_deacetylase_complex
YDR448W Ada2p/Gcn5p/Ada3_transcription_activator_complex
YOR023C Ada2p/Gcn5p/Ada3_transcription_activator_complex
YGR252W Ada2p/Gcn5p/Ada3_transcription_activator_complex
YPL254W Ada2p/Gcn5p/Ada3_transcription_activator_complex
YDR176W Ada2p/Gcn5p/Ada3_transcription_activator_complex
YJL065C chromatin_accessibility_complex
YDR121W chromatin_accessibility_complex
YOR304W chromatin_accessibility_complex
YGL133W chromatin_accessibility_complex
YGL051W Mst27p/Mst28p_complex
YAR033W Mst27p/Mst28p_complex
YPL048W eEF1
YAL003W eEF1
YPR080W eEF1
YBR118W eEF1
YKL081W eEF1
YJR060W Cbf1p/Met4p/Met28p_complex
YIR017C Cbf1p/Met4p/Met28p_complex
YNL103W Cbf1p/Met4p/Met28p_complex
YDL043C Prp9p/Prp11p/Prp21p_complex(SF3a_complex)
YJL203W Prp9p/Prp11p/Prp21p_complex(SF3a_complex)
YDL030W Prp9p/Prp11p/Prp21p_complex(SF3a_complex)
YIR017C Met4p/Met28p/Met31p_complex
YPL038W Met4p/Met28p/Met31p_complex
YNL103W Met4p/Met28p/Met31p_complex
YJL085W Exocyst_complex
YBR102C Exocyst_complex
YLR166C Exocyst_complex
YGL233W Exocyst_complex
YER008C Exocyst_complex
YDR166C Exocyst_complex
YIL068C Exocyst_complex
YPR055W Exocyst_complex
YER019C-A Ssh1p_translocon_complex
YBR283C Ssh1p_translocon_complex
YDR086C Ssh1p_translocon_complex
YHR158C Kel1p/Kel2p_complex
YGR238C Kel1p/Kel2p_complex
YDL175C TRAMP_complex_(Air2p)
YJL050W TRAMP_complex_(Air2p)
YOL115W TRAMP_complex_(Air2p)
YIL033C cAMP-dependent_protein_kinase
YJL164C cAMP-dependent_protein_kinase
YPL203W cAMP-dependent_protein_kinase
YKL166C cAMP-dependent_protein_kinase
YMR023C Mto1p/Mss1p_complex
YGL236C Mto1p/Mss1p_complex
YGR188C Bub1p/Bub3p_complex
YOR026W Bub1p/Bub3p_complex
YNL076W Mks1p/Rtg2p_complex
YGL252C Mks1p/Rtg2p_complex
YBR131W Mon1p/Ccz1p_complex
YGL124C Mon1p/Ccz1p_complex
YIL062C Arp2/3_protein_complex
YLR370C Arp2/3_protein_complex
YKL013C Arp2/3_protein_complex
YNR035C Arp2/3_protein_complex
YBR234C Arp2/3_protein_complex
YDL029W Arp2/3_protein_complex
YJR065C Arp2/3_protein_complex
YDR013W GINS_complex
YJL072C GINS_complex
YOL146W GINS_complex
YDR489W GINS_complex
YOL090W MSH2p/MSH6p_complex
YDR097C MSH2p/MSH6p_complex
YNL072W ribonuclease_H2_complex
YDR279W ribonuclease_H2_complex
YLR154C ribonuclease_H2_complex
YBR045C Gip1p/Glc7p_complex
YER133W Gip1p/Glc7p_complex
YBR036C Sur1p/Csg2p_complex
YPL057C Sur1p/Csg2p_complex
YER012W 20S_proteasome
YOR362C 20S_proteasome
YPR103W 20S_proteasome
YJL001W 20S_proteasome
YFR050C 20S_proteasome
YMR314W 20S_proteasome
YOL038W 20S_proteasome
YBL041W 20S_proteasome
YML092C 20S_proteasome
YGR135W 20S_proteasome
YOR157C 20S_proteasome
YGR253C 20S_proteasome
YER094C 20S_proteasome
YGL011C 20S_proteasome
YLR270W Dcs1p/Dcs2_heterodimer
YOR173W Dcs1p/Dcs2_heterodimer
YOR210W DNA-directed_RNA_polymerase_II_complex
YOL005C DNA-directed_RNA_polymerase_II_complex
YOR151C DNA-directed_RNA_polymerase_II_complex
YIL021W DNA-directed_RNA_polymerase_II_complex
YJL140W DNA-directed_RNA_polymerase_II_complex
YBR154C DNA-directed_RNA_polymerase_II_complex
YDR404C DNA-directed_RNA_polymerase_II_complex
YOR224C DNA-directed_RNA_polymerase_II_complex
YGL070C DNA-directed_RNA_polymerase_II_complex
YHR143W-A DNA-directed_RNA_polymerase_II_complex
YDL140C DNA-directed_RNA_polymerase_II_complex
YPR187W DNA-directed_RNA_polymerase_II_complex
YPL194W Rad17p/Ddc1p/Mec3p_complex
YLR288C Rad17p/Ddc1p/Mec3p_complex
YOR368W Rad17p/Ddc1p/Mec3p_complex
YBR123C transcription_factor_TFIIIC_complex
YAL001C transcription_factor_TFIIIC_complex
YGR047C transcription_factor_TFIIIC_complex
YDR362C transcription_factor_TFIIIC_complex
YOR110W transcription_factor_TFIIIC_complex
YPL007C transcription_factor_TFIIIC_complex
YBL008W HIR_complex
YOR038C HIR_complex
YJR140C HIR_complex
YBR215W HIR_complex
YKL112W nucleotide-excision_repair_factor_4_complex
YPL046C nucleotide-excision_repair_factor_4_complex
YBR114W nucleotide-excision_repair_factor_4_complex
YJR052W nucleotide-excision_repair_factor_4_complex
YLR233C Telomerase
YLR318W Telomerase
YIL009C-A Telomerase
YOL124C adoMet-dependent_tRNA_methyltransferase_(Mtase)_Complex
YNR046W adoMet-dependent_tRNA_methyltransferase_(Mtase)_Complex
YBR112C Sko1p/Cyc8p/Tup1_repressor_complex
YNL167C Sko1p/Cyc8p/Tup1_repressor_complex
YCR084C Sko1p/Cyc8p/Tup1_repressor_complex
YDL116W Nup84p_complex
YJR042W Nup84p_complex
YKL057C Nup84p_complex
YGL092W Nup84p_complex
YLR208W Nup84p_complex
YGL100W Nup84p_complex
YML065W Origin_recognition_complex
YBR060C Origin_recognition_complex
YLL004W Origin_recognition_complex
YPR162C Origin_recognition_complex
YNL261W Origin_recognition_complex
YHR118C Origin_recognition_complex
YAL010C mitochondrial_sorting_and_assembly_machinery_complex
YHR083W mitochondrial_sorting_and_assembly_machinery_complex
YMR060C mitochondrial_sorting_and_assembly_machinery_complex
YNL026W mitochondrial_sorting_and_assembly_machinery_complex
YMR167W Mlh1p/Mlh3p_complex
YPL164C Mlh1p/Mlh3p_complex
YEL027W "H+-transporting_ATPase,_vacuolar"
YHR026W "H+-transporting_ATPase,_vacuolar"
YDL185W "H+-transporting_ATPase,_vacuolar"
YPL234C "H+-transporting_ATPase,_vacuolar"
YHR039C-A "H+-transporting_ATPase,_vacuolar"
YPR036W "H+-transporting_ATPase,_vacuolar"
YBR127C "H+-transporting_ATPase,_vacuolar"
YOR332W "H+-transporting_ATPase,_vacuolar"
YKL080W "H+-transporting_ATPase,_vacuolar"
YLR447C "H+-transporting_ATPase,_vacuolar"
YGR020C "H+-transporting_ATPase,_vacuolar"
YEL051W "H+-transporting_ATPase,_vacuolar"
YOR270C "H+-transporting_ATPase,_vacuolar"
YBR160W Cdc28p/Clb5p_complex
YPR120C Cdc28p/Clb5p_complex
YNL221C nucleolar_ribonuclease_P_complex
YNL282W nucleolar_ribonuclease_P_complex
YBR257W nucleolar_ribonuclease_P_complex
YAL033W nucleolar_ribonuclease_P_complex
YGR030C nucleolar_ribonuclease_P_complex
YBR167C nucleolar_ribonuclease_P_complex
YBL018C nucleolar_ribonuclease_P_complex
YIR015W nucleolar_ribonuclease_P_complex
YHR062C nucleolar_ribonuclease_P_complex
YLR163C mitochondrial_processing_peptidase_complex
YHR024C mitochondrial_processing_peptidase_complex
YKR020W GARP_complex
YDR484W GARP_complex
YJL029C GARP_complex
YDR027C GARP_complex
YGR092W Mob1p/Dbf2p_complex
YIL106W Mob1p/Dbf2p_complex
YER173W DNA_replication_factor_C_complex_(Rad24p)
YJR068W DNA_replication_factor_C_complex_(Rad24p)
YNL290W DNA_replication_factor_C_complex_(Rad24p)
YOL094C DNA_replication_factor_C_complex_(Rad24p)
YBR087W DNA_replication_factor_C_complex_(Rad24p)
YNL230C Ela1p/Elc1p_complex
YPL046C Ela1p/Elc1p_complex
YPL002C ESCRT_II_complex
YJR102C ESCRT_II_complex
YLR417W ESCRT_II_complex
YGL237C CCAAT-binding_factor_complex
YBL021C CCAAT-binding_factor_complex
YKL109W CCAAT-binding_factor_complex
YOR358W CCAAT-binding_factor_complex
YKR028W Sap190p/Sit4p_complex
YDL047W Sap190p/Sit4p_complex
YER159C NC2_complex
YDR397C NC2_complex
YJL115W Rad53p/Asf1p_complex
YPL153C Rad53p/Asf1p_complex
YLR060W Phenylalaninine-tRNA-ligase
YFL022C Phenylalaninine-tRNA-ligase
YLR246W palmitoyltransferase_complex
YOL110W palmitoyltransferase_complex
YGL174W RES_complex
YLR016C RES_complex
YIR005W RES_complex
YNL221C ribonuclease_MRP_complex
