Long Short
"1,3-beta-glucan_synthase_complex_(Fks1p/Rho1p)" Fks1p/Rho1p
"1,3-beta-glucan_synthase_complex_(Gsc2p/Smk1p)" Gsc2p/Smk1p
19/22S_regulator 19/22S_regulator
20S_proteasome 20S_proteasome
6-phosphofructokinase_complex 6-phosphofructokinase
acetolactate_synthase_complex acetolactate_synthase
"actin_cytoskeleton-regulatory_complex,_Pan1p/Sla1p/End3p_complex" Pan1p/Sla1p/End3p
Ada2p/Gcn5p/Ada3_transcription_activator_complex Ada2p/Gcn5p/Ada3
adenylyl_cyclase_complex adenylyl_cyclase
adoMet-dependent_tRNA_methyltransferase_(Mtase)_Complex tRNA_Mtase
"alpha-1,6-mannosyltransferase_complex(Anp1p/Mnn9p)" Anp1p/Mnn9p
"alpha-1,6-mannosyltransferase_complex(Van1p/Mnn9p)" Van1p/Mnn9p
"alpha,alpha-trehalose-phosphate_synthase_complex_(UDP-forming)" "alpha,alpha-trehalose-phosphate_synthase_complex_(UDP-forming)"
alpha_DNA_polymerase:primase_complex alpha_DNA_pol:primase
anaphase-promoting_complex ACP
anthranilate_synthase_complex anthranilate_synthase
AP-1_adaptor_complex AP-1_adaptor
AP-2_adaptor_complex AP-2_adaptor
AP-3_adaptor_complex AP-3_adaptor
Apg12p/Apg5p/Apg16_multimeric_complex Apg12p/Apg5p/Apg16
"Arg2p/Arg5,6p_complex" Arg2p/Arg5,6p
ARGR_complex ARGR
Arp2/3_protein_complex Arp2/3
Atg20p/Snx4p/Snx41p_complex Atg20p/Snx4p/Snx41p
Aurora_B-INCENP_protein_kinase_complex Aurora_B-INCENP_protein_kinase
Bi3_ribonucleoprotein_complex Bi3_ribonucleoprotein
Bi4p/Nam2p_complex Bi4p/Nam2p
Bni4p/Glc7p_complex Bni4p/Glc7p
box_C/D_snoRNP_complex box_C/D_snoRNP
Bub1p/Bub3p_complex Bub1p/Bub3p
Bub2p/Bfa1p_complex Bub2p/Bfa1p
Bud14p/Glc7p_complex Bud14p/Glc7p
CAAX-protein_geranylgeranyltransferase_complex CAAX-protein_geranylgeranyltransferase
calcineurin_complex calcineurin
cAMP-dependent_protein_kinase cAMP-dependent_protein_kinase
Car1p/Arg3p_complex Car1p/Arg3p
carbamoyl-phosphate_synthase_complex carbamoyl-phosphate_synthase
carboxy-terminal_domain_protein_kinase_complex C-terminal_domain_protein_kinase
Cbf1p/Met4p/Met28p_complex Cbf1p/Met4p/Met28p
CBF3_complex CBF3
Cbp1p/Pet309p_complex Cbp1p/Pet309p
CCAAT-binding_factor_complex CCAAT-binding_factor
CCR4-NOT_core_complex CCR4-NOT
Cdc24p/Far1p/Gbetagamma_protein_complex Cdc24p/Far1p/Gbetagamma
