YORF	BY008_T1	BY008_T2	BY008_T3	BY008_T4	BY008_T5	BY008_T6	BY008_T7	BY008_T8	BY013_T1	BY013_T0	BY013_T2	BY013_T3	BY013_T4	BY013_T5	BY013_T6	BY013_T7	BY013_T8	BY005_T1	BY005_T2	BY005_T3	BY005_T4	BY005_T5	BY005_T6	BY005_T7	BY005_T8
YKR009C	2532.1	2050.1	1447.5	1211.7	1201.2	1216.7	1712.6	1536.2	1693.0	1797.1	1927.6	1825.2	2171.1	2476.7	3007.7	3058.2	2961.6	1533.8	1622.0	1940.6	2378.3	2577.8	3345.0	3290.0	2661.8
YDL157C	4459.6	4757.5	4338.3	4062.3	4315.8	3512.7	5874.1	5678.6	6321.1	6368.6	6167.8	5473.8	5403.7	4692.2	4112.4	4318.8	3927.3	7242.8	8027.7	7537.5	6726.6	5833.1	5568.1	5559.2	6122.1
YER059W	3818.9	3573.8	1702.9	1385.2	1215.5	849.2	1118.2	1561.0	2067.9	2066.6	2247.0	2782.9	3089.7	3731.2	3903.6	3764.4	3222.6	1961.9	2232.5	2517.2	3207.4	3238.8	3027.6	2683.0	2898.5
YGL059W	1431.8	1497.0	892.7	816.9	814.9	749.7	2615.8	1383.7	1383.0	1450.5	1378.8	1477.7	1450.3	1504.3	1296.4	1790.2	1987.9	1469.3	1618.8	1726.1	1784.8	1600.0	1940.5	2527.7	2505.5
YDR481C	8086.9	7145.9	4191.7	2403.8	1378.9	1686.7	4091.8	3099.2	4166.2	3936.9	4648.1	5350.9	5751.6	7568.0	9495.8	8370.6	8083.7	3837.4	3980.5	4491.4	6058.6	7153.0	9531.4	8285.1	6402.0
YML113W	495.7	1841.9	3063.2	3571.7	3831.0	4519.3	2774.6	1692.5	1328.1	1123.6	912.4	545.6	309.7	189.1	188.9	353.7	455.7	1355.9	1593.9	724.6	243.0	116.9	213.4	228.0	380.2
YIL157C	3112.1	2437.4	1754.6	1580.3	1457.0	1155.1	1485.6	1881.7	2227.5	2512.3	2502.2	2732.4	2927.0	3433.0	3866.4	3519.4	3153.4	2226.1	2419.9	2763.6	3067.9	3422.9	3894.2	3445.0	3389.0
YPR003C	1501.3	1212.2	657.3	487.8	422.0	518.5	712.1	906.1	843.9	858.0	945.5	1003.7	1131.2	1217.1	1476.9	1282.5	1285.7	855.1	934.4	900.8	1148.9	1151.3	1236.9	1426.3	1199.6
YNR074C	2835.7	2138.9	1203.3	1125.0	986.9	873.8	1830.5	1917.2	2654.5	2753.6	2680.0	2533.2	2769.8	3156.2	3471.8	2995.9	2482.2	2137.3	2059.6	2214.9	2396.6	2532.7	3432.0	3350.5	2384.7
YLR154C-H	1333.6	1103.1	997.7	1108.1	1338.4	1467.5	1385.7	1175.8	904.3	786.4	935.0	776.1	742.8	877.4	935.7	915.6	774.5	1231.2	1491.5	976.9	1019.8	1323.3	976.9	1445.6	1448.7
YKL012W	2553.6	2532.3	1753.1	1665.3	2116.7	2726.6	3644.8	2696.3	2212.6	2335.0	2250.2	2172.6	2246.3	2268.0	2220.0	2775.5	2611.3	2214.5	2305.0	2346.6	2621.1	2281.1	2674.4	3233.4	2614.3
YJL147C	789.3	829.0	486.0	533.6	557.1	623.4	632.2	553.2	690.3	739.7	748.8	695.9	712.0	785.7	829.1	997.0	914.5	633.4	661.2	704.9	696.2	708.6	969.8	900.8	796.8
YDL216C	1035.6	765.9	307.7	241.7	227.8	246.7	464.7	322.0	517.8	548.2	603.7	716.6	848.6	1060.7	1102.6	1408.6	1248.1	405.9	419.1	636.3	968.3	927.4	1019.3	853.0	824.3
YNL320W	2741.6	2037.0	1734.3	1431.3	1314.1	1173.6	1898.0	2398.4	2773.1	2819.5	2874.1	2843.7	3027.5	2979.0	3247.9	2465.5	2327.2	2444.6	2336.2	2561.3	2967.9	3110.7	3554.3	3059.1	2488.0
YHL007C	2881.3	3505.7	5933.9	6721.9	6085.1	6407.4	5567.4	5000.3	3400.7	3221.8	3085.7	2785.4	2304.3	1915.2	1753.5	1971.2	2173.4	3650.2	3543.7	2932.8	2239.6	1529.4	1508.9	1686.3	2255.5
YPL223C	3950.4	3306.1	2135.1	2122.7	1782.9	851.4	469.9	309.9	380.8	357.8	423.7	512.8	604.1	860.1	1299.9	1732.1	2759.6	415.0	506.6	482.3	553.5	708.3	1248.4	2292.9	2976.8
YKL138C	4887.5	4989.3	4847.6	4579.1	5736.4	5564.8	5801.9	6011.2	5561.3	6041.2	5597.9	4864.2	5283.7	4930.7	5195.5	3102.9	3193.7	5152.3	5044.6	5852.6	5469.4	5224.0	4396.0	2410.5	2452.2
YNL126W	1808.0	1956.3	1338.5	1253.8	1141.6	952.9	661.5	975.5	1348.5	1286.1	1279.9	1280.1	1241.9	1267.4	1375.3	1716.7	1585.8	1371.6	1339.4	1303.5	1164.2	1028.9	1041.8	1544.3	1689.0
YKL055C	176.9	234.4	496.7	626.9	580.6	580.7	607.9	221.3	208.7	210.7	206.5	158.8	149.9	100.4	110.8	143.4	150.3	284.9	249.5	224.6	200.2	145.2	202.2	91.5	144.4
