sample	time	condition
BY008_T1	-10min	N_upshift
BY008_T2	3min	N_upshift
BY008_T3	7min	N_upshift
BY008_T4	10min	N_upshift
BY008_T5	14min	N_upshift
BY008_T6	24min	N_upshift
BY008_T7	56min	N_upshift
BY008_T8	120min	N_upshift
BY013_T1	-10min	N_downshift
BY013_T0	-5min	N_downshift
BY013_T2	3min	N_downshift
BY013_T3	7min	N_downshift
BY013_T4	10min	N_downshift
BY013_T5	14min	N_downshift
BY013_T6	24min	N_downshift
BY013_T7	56min	N_downshift
BY013_T8	120min	N_downshift
BY005_T1	-10min	Rapamycin
BY005_T2	3min	Rapamycin
BY005_T3	7min	Rapamycin
BY005_T4	10min	Rapamycin
BY005_T5	14min	Rapamycin
BY005_T6	24min	Rapamycin
BY005_T7	56min	Rapamycin
BY005_T8	120min	Rapamycin
