BioGRID ID	PubMed ID	Query ORF	Query gene	Query allele	Suppressor ORF	Suppressor gene	Suppressor allele	Note
83591	12077337	YOL001W	PHO80	Deletion allele	YFR034C	PHO4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
84289	12077337	YOL001W	PHO80	Deletion allele	YJL012C	VTC4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159175	11486011	YDR477W	SNF1	Deletion allele	YNR016C	ACC1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159176	11014803	YOL076W	MDM20	Deletion allele	YFL039C	ACT1	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
159177	10953013	YOR122C	PFY1	Hypomorphic allele (TS, DAmP, etc)	YFL039C	ACT1	Specific mutation (activating mutant, phospho-mutant, etc)	
159182	2656402	YDR129C	SAC6	Hypomorphic allele (TS, DAmP, etc)	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	
159183	2656402	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	YDR129C	SAC6	Hypomorphic allele (TS, DAmP, etc)	
159186	2656402	YDR129C	SAC6	Hypomorphic allele (TS, DAmP, etc)	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	
159187	2656402	YFL039C	ACT1	Hypomorphic allele (TS, DAmP, etc)	YDR129C	SAC6	Hypomorphic allele (TS, DAmP, etc)	
159192	12956961	YOR329C	SCD5	Hypomorphic allele (TS, DAmP, etc)	YBR059C	AKL1	Deletion allele	
159193	9763440	YGL027C	CWH41	Deletion allele	YPL227C	ALG5	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159195	9927726	YKL113C	RAD27	Deletion allele	YKL114C	APN1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159200	11454748	YFR029W	PTR3	Deletion allele	YMR119W	ASI1	Spontaneous mutation	
159201	11454748	YDR160W	SSY1	Deletion allele	YMR119W	ASI1	Spontaneous mutation	
159202	11454748	YFR029W	PTR3	Deletion allele	YNL159C	ASI2	Spontaneous mutation	
159203	11454748	YDR160W	SSY1	Deletion allele	YNL159C	ASI2	Spontaneous mutation	
159204	11454748	YFR029W	PTR3	Deletion allele	YNL008C	ASI3	Spontaneous mutation	
159205	11454748	YDR160W	SSY1	Deletion allele	YNL008C	ASI3	Spontaneous mutation	
159206	12524335	YPR024W	YME1	Deletion allele	YBL099W	ATP1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159213	1729597	YBL105C	PKC1	Deletion allele	YJL095W	BCK1	Spontaneous mutation	
159220	6285379	YJL005W	CYR1	Specific mutation (activating mutant, phospho-mutant, etc)	YIL033C	BCY1	Spontaneous mutation	
159221	6292221	YNL098C	RAS2	Hypomorphic allele (TS, DAmP, etc)	YIL033C	BCY1	Specific mutation (activating mutant, phospho-mutant, etc)	
159231	1656238	YGL190C	CDC55	Hypomorphic allele (TS, DAmP, etc)	YER155C	BEM2	Spontaneous mutation	
159234	11959999	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YJR053W	BFA1	Deletion allele	
159235	11733064	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YJR053W	BFA1	Deletion allele	
159238	11454748	YFR029W	PTR3	Deletion allele	YPL084W	BRO1	Spontaneous mutation	
159239	11454748	YDR160W	SSY1	Deletion allele	YPL084W	BRO1	Spontaneous mutation	
159243	9115231	YJR104C	SOD1	Deletion allele	YBR290W	BSD2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159251	11959999	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YMR055C	BUB2	Deletion allele	
159252	11733064	YMR001C	CDC5	Hypomorphic allele (TS, DAmP, etc)	YMR055C	BUB2	Deletion allele	
159258	11454748	YFR029W	PTR3	Deletion allele	YMR275C	BUL1	Spontaneous mutation	
159259	11454748	YDR160W	SSY1	Deletion allele	YMR275C	BUL1	Spontaneous mutation	
159260	10366593	YML104C	MDM1	Hypomorphic allele (TS, DAmP, etc)	YMR275C	BUL1	Specific mutation (activating mutant, phospho-mutant, etc)	
159264	11696541	YCR093W	CDC39	Specific mutation (activating mutant, phospho-mutant, etc)	YNR052C	POP2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159265	11696541	YIL038C	NOT3	Deletion allele	YNR052C	POP2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159269	9671455	YER022W	SRB4	Hypomorphic allele (TS, DAmP, etc)	YNR052C	POP2	Spontaneous mutation	
159270	7635279	YML032C	RAD52	Specific mutation (activating mutant, phospho-mutant, etc)	YNR052C	POP2	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159275	10975521	YIL046W	MET30	Hypomorphic allele (TS, DAmP, etc)	YJR060W	CBF1	Deletion allele	
159277	11696541	YCR093W	CDC39	Specific mutation (activating mutant, phospho-mutant, etc)	YAL021C	CCR4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159278	11696541	YIL038C	NOT3	Deletion allele	YAL021C	CCR4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159286	7635279	YML032C	RAD52	Specific mutation (activating mutant, phospho-mutant, etc)	YAL021C	CCR4	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159291	11914130	YAR019C	CDC15	Deletion allele	YFR028C	CDC14	Spontaneous mutation	
159293	11511359	YML064C	TEM1	Deletion allele	YFR028C	CDC14	Specific mutation (activating mutant, phospho-mutant, etc)	
159297	10837230	YML064C	TEM1	Hypomorphic allele (TS, DAmP, etc)	YAR019C	CDC15	Specific mutation (activating mutant, phospho-mutant, etc)	
159298	8668128	YAL024C	LTE1	Deletion allele	YAR019C	CDC15	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159300	11527976	YFL029C	CAK1	Hypomorphic allele (TS, DAmP, etc)	YBR160W	CDC28	Overexpression of a mutant allele	
159302	9566911	YFL029C	CAK1	Deletion allele	YBR160W	CDC28	Specific mutation (activating mutant, phospho-mutant, etc)	
159304	9001215	YGL190C	CDC55	Deletion allele	YBR160W	CDC28	Specific mutation (activating mutant, phospho-mutant, etc)	Conditional Suppression (excl. high temp for TS alleles)
159307	11156974	YNL188W	KAR1	Hypomorphic allele (TS, DAmP, etc)	YOR257W	CDC31	Hypomorphic allele (TS, DAmP, etc)	
159308	8070654	YNL188W	KAR1	Deletion allele	YOR257W	CDC31	Specific mutation (activating mutant, phospho-mutant, etc)	
159309	8070654	YOR257W	CDC31	Hypomorphic allele (TS, DAmP, etc)	YNL188W	KAR1	Deletion allele	
159319	10409741	YGL116W	CDC20	Hypomorphic allele (TS, DAmP, etc)	YFL009W	CDC4	Spontaneous mutation	
159323	9096361	YDL017W	CDC7	Hypomorphic allele (TS, DAmP, etc)	YLR274W	MCM5	Spontaneous mutation	
159324	9096361	YDR052C	DBF4	Hypomorphic allele (TS, DAmP, etc)	YLR274W	MCM5	Spontaneous mutation	
159328	9001215	YGL116W	CDC20	Hypomorphic allele (TS, DAmP, etc)	YGL190C	CDC55	Deletion allele	
159332	1398064	YML123C	PHO84	Deletion allele	YJR060W	CBF1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159333	9323359	YER086W	ILV1	Deletion allele	YLR098C	CHA4	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
159336	12682017	YML010W	SPT5	Hypomorphic allele (TS, DAmP, etc)	YER164W	CHD1	Deletion allele	
159337	11014804	YML069W	POB3	Specific mutation (activating mutant, phospho-mutant, etc)	YER164W	CHD1	Deletion allele	
159338	12154123	YMR284W	YKU70	Deletion allele	YBR274W	CHK1	Deletion allele	Conditional Suppression (excl. high temp for TS alleles)
159339	9215891	YMR138W	CIN4	Specific mutation (activating mutant, phospho-mutant, etc)	YOR349W	CIN1	Spontaneous mutation	Conditional Suppression (excl. high temp for TS alleles)
