OLN	uniprotID	SGD_id	length
YMR056C	P04710	S000004660	309
YBR085W	P18238	S000000289	307
YJR155W	P47182	S000003916	288
YNL331C	P42884	S000005275	376
YOL165C	Q08361	S000005525	143
YPL088W	Q02895	S000006009	342
YCR107W	P25612	S000000704	363
YDL243C	Q07747	S000002402	329
YFL056C	P43547	S000001838	212
YNL141W	P53909	S000005085	347
YHR047C	P37898	S000001089	856
YBL074C	P32357	S000000170	355
YKL106W	Q01802	S000001589	451
YLR027C	P23542	S000004017	418
YBR236C	P32783	S000000440	436
YKL112W	P14164	S000001595	731
YMR072W	Q02486	S000004676	183
YJR108W	P47146	S000003869	123
YCR088W	P15891	S000000684	592
YOR239W	Q08641	S000005765	628
YNR033W	P37254	S000005316	787
YMR289W	Q03266	S000004902	374
YER045C	P39970	S000000847	489
YGR037C	P31787	S000003269	87
YNR016C	Q00955	S000005299	2233
YLR131C	P21192	S000004121	770
YLR144C	Q12168	S000004134	779
YJR083C	P47129	S000003843	309
YBL015W	P32316	S000000111	526
YDL203C	Q07622	S000002362	623
YDR161W	Q03771	S000002568	387
YPL267W	Q08981	S000006188	209
YLR304C	P19414	S000004295	778
YJL200C	P39533	S000003736	789
YKL192C	P32463	S000001675	125
YAL054C	Q01574	S000000050	713
YLR153C	P52910	S000004143	683
YFL039C	P60010	S000001855	375
YDR448W	Q02336	S000002856	434
YMR184W	Q03233	S000004796	198
YKL206C	P36040	S000001689	267
YAR015W	P27616	S000000070	306
YNL220W	P80210	S000005164	433
YLR359W	Q05911	S000004351	482
YLR028C	P54113	S000004018	591
YMR120C	P38009	S000004727	592
YOR128C	P21264	S000005654	571
YGR204W	P07245	S000003436	946
YMR300C	P04046	S000004915	510
YGL234W	P07244	S000003203	802
YGR061C	P38972	S000003293	1358
YDR408C	P04161	S000002816	214
YCL058W-A	Q2V2Q1	S000028518	113
YOL086C	P00330	S000005446	348
YMR303C	P00331	S000004918	348
YMR083W	P07246	S000004688	375
YGL256W	P10127	S000003225	382
YBR145W	P38113	S000000349	351
YMR318C	Q04894	S000004937	360
YCR105W	P25377	S000000702	361
YMR009W	Q03677	S000004611	179
YDR226W	P07170	S000002634	222
YER170W	P26364	S000000972	225
YJR105W	P47143	S000003866	340
YCR011C	P25371	S000000604	1049
YDR216W	P07248	S000002624	1323
YCR010C	P25613	S000000603	283
YDL239C	Q07732	S000002398	790
YLR227C	Q05955	S000004217	493
YMR064W	P32493	S000004668	518
YMR282C	P22136	S000004895	580
YPL005W	Q12089	S000005926	606
YEL052W	P32317	S000000778	509
YLR397C	P32794	S000004389	780
YER017C	P39925	S000000819	761
YOR129C	Q99222	S000005655	893
YDR085C	P33304	S000002492	620
YGL071W	P22149	S000003039	690
YPL202C	Q08957	S000006123	416
YNR044W	P32323	S000005327	725
YGL032C	P32781	S000003000	87
YPR021C	Q12482	S000006225	902
YDR524C	Q04412	S000002932	482
YIL044C	P40529	S000001306	298
YCL025C	P25376	S000000530	633
YBR132C	P38090	S000000336	596
YFL055W	P43548	S000001839	558
YFL030W	P43567	S000001864	385
YDR214W	Q12449	S000002622	350
YOR023C	Q12433	S000005549	566
YCR082W	P25649	S000000678	128
YLR109W	P38013	S000004099	176
YHR093W	P29589	S000001135	182
Q0050	P03875	S000007261	834
Q0055	P03876	S000007262	854
Q0060	P03877	S000007263	415
Q0065	P03878	S000007264	556
Q0070	Q9ZZX1	S000007265	630
Q0075	Q9ZZX0	S000007266	354
YNR074C	P52923	S000005357	378
YER087W	P39965	S000000889	576
YER093C-A	P87275	S000002960	137
YGL160W	P53109	S000003128	570
YHL021C	P23180	S000001013	465
YHR198C	P38884	S000001241	321
YIL087C	P40502	S000001349	157
YAL049C	P39721	S000000047	246
YIL158W	P40451	S000001420	204
YIR003W	P40563	S000001442	679
YJL046W	P47051	S000003582	409
YJL131C	P47015	S000003667	356
YJR080C	P47127	S000003841	394
YJR100C	P47140	S000003861	327
YKL037W	P32858	S000001520	118
YKR074W	P36154	S000001782	155
YBR108W	P38266	S000000312	947
YML050W	Q04689	S000004514	311
YML087C	Q04516	S000004552	312
YMR003W	Q03673	S000004605	198
YMR157C	Q03798	S000004766	255
YOL053W	Q08223	S000005414	395
YOR215C	Q12032	S000005741	185
YPL158C	Q99299	S000006079	758
YPR004C	Q12480	S000006208	344
YHR199C	P38885	S000001242	310
YBR194W	P38305	S000000398	123
YDL237W	Q07716	S000002396	390
YDR063W	Q12156	S000002470	149
YER080W	P40053	S000000882	627
YMR092C	P46680	S000004698	615
YIL079C	P40507	S000001341	360
YDL175C	Q12476	S000002334	344
YBR059C	P38080	S000000263	1108
YDR264C	P39010	S000002672	764
YOR034C	Q12013	S000005560	749
YOR335C	P40825	S000005862	983
YJL122W	P47019	S000003658	175
YMR170C	P47771	S000004780	506
YMR169C	P54114	S000004779	506
YOR374W	P46367	S000005901	519
YER073W	P40047	S000000875	520
YPL061W	P54115	S000005982	500
YOR175C	Q08548	S000005701	619
