ORF	SD	ABS
YAL001C	0.527	0.423
YAL002W	0.803	0.478
YAL003W	0.948	0.767
YAL004W	0.614	0.467
YAL005C	0.964	0.653
YAL007C	0.74	0.519
YAL008W	0.632	0.541
YAL009W	0.394	0.3
YAL010C	0.501	0.359
YAL011W	0.37	0.281
YAL012W	0.965	0.701
YAL013W	0.528	0.386
YAL014C	0.396	0.328
YAL015C	0.434	0.338
YAL016W	0.413	0.417
YAL017W	0.514	0.444
YAL018C	0.732	0.431
YAL019W	0.457	0.367
YAL020C	0.508	0.354
YAL021C	0.375	0.283
YAL022C	0.523	0.357
YAL023C	0.575	0.4
YAL024C	0.402	0.317
YAL025C	1.107	1.001
YAL026C	0.733	0.493
YAL027W	0.368	0.281
YAL028W	0.489	0.385
YAL029C	0.605	0.415
YAL030W	0.352	0.298
YAL031C	0.536	0.39
YAL032C	0.305	0.231
YAL033W	0.478	0.377
YAL034C	0.925	0.681
YAL034W-A	0.554	0.379
YAL035C-A	0.522	0.477
YAL035W	0.89	0.718
YAL036C	0.796	0.764
YAL037W	0.573	0.372
YAL038W	0.881	0.619
YAL039C	0.524	0.4
YAL040C	0.476	0.379
YAL041W	0.431	0.35
YAL042W	0.405	0.328
YAL043C	0.509	0.393
YAL043C-A	0.371	0.312
YAL044C	0.687	0.516
YAL045C	0.469	0.311
YAL046C	0.568	0.372
YAL047C	0.501	0.399
YAL048C	0.54	0.409
YAL049C	0.529	0.466
YAL051W	0.685	0.434
YAL053W	0.47	0.337
YAL054C	1.25	0.8
YAL055W	0.801	0.57
YAL056W	0.541	0.39
YAL058C-A	1.334	0.987
YAL058W	0.658	0.481
YAL059W	0.838	0.737
YAL060W	1.055	0.923
YAL061W	1.306	0.962
YAL062W	0.714	0.502
YAL063C	0.55	0.373
YAL064C-A	0.624	0.464
YAL064W	0.678	0.506
YAL064W-B	0.773	0.478
YAL065C	0.642	0.403
YAL066W	0.95	0.644
YAL067C	0.852	0.603
YAL068C	0.522	0.377
YAL069W	0.477	0.361
YAR002C-A	0.689	0.496
YAR002W	0.519	0.407
YAR003W	0.473	0.353
YAR007C	0.549	0.391
YAR008W	0.511	0.433
YAR009C	0.55	0.356
YAR010C	0.67	0.444
YAR014C	0.657	0.479
YAR015W	0.802	0.587
YAR018C	0.645	0.437
YAR019C	0.531	0.38
YAR020C	0.643	0.417
YAR023C	0.542	0.412
YAR027W	0.607	0.529
YAR028W	0.566	0.398
YAR029W	0.529	0.395
YAR030C	0.43	0.348
YAR031W	0.424	0.367
YAR033W	0.359	0.287
YAR035W	0.399	0.302
YAR042W	0.655	0.481
YAR044W	0.527	0.387
YAR047C	0.646	0.453
YAR050W	0.61	0.411
YAR053W	0.48	0.392
YAR060C	0.497	0.366
YAR061W	0.665	0.437
YAR062W	0.814	0.546
YAR064W	0.352	0.326
YAR066W	1.109	0.837
YAR068W	0.744	0.52
YAR069C	0.551	0.443
YAR070C	0.622	0.451
YAR071W	1.478	1.267
YAR073W	1.164	0.957
YAR075W	1.143	0.984
YBL001C	0.462	0.47
YBL002W	0.731	0.609
YBL003C	0.756	0.613
YBL004W	0.598	0.515
YBL005W	0.925	0.668
YBL005W-A	0.677	0.47
YBL005W-B	0.354	0.288
YBL006C	0.337	0.272
YBL007C	0.461	0.343
YBL008W	0.423	0.307
YBL009W	0.726	0.589
YBL010C	0.408	0.322
YBL011W	0.382	0.292
YBL012C	0.598	0.422
YBL013W	0.488	0.381
YBL014C	0.528	0.45
YBL015W	1.503	0.973
YBL016W	0.456	0.384
YBL017C	0.545	0.388
YBL018C	0.552	0.461
YBL019W	0.519	0.385
YBL020W	0.494	0.413
YBL021C	0.585	0.391
YBL022C	0.57	0.443
YBL023C	0.409	0.335
YBL024W	1.176	1.004
YBL025W	0.431	0.311
YBL026W	0.612	0.404
YBL027W	1.124	0.86
YBL028C	1.217	1.026
YBL029W	0.713	0.518
YBL030C	0.82	0.618
YBL031W	0.436	0.357
YBL032W	0.561	0.495
YBL033C	0.57	0.393
YBL034C	0.499	0.384
YBL035C	0.562	0.497
YBL036C	0.453	0.324
YBL037W	0.446	0.309
YBL038W	0.555	0.373
YBL039C	1.712	1.527
YBL040C	0.629	0.44
YBL041W	0.476	0.426
YBL042C	1.057	0.912
YBL043W	1.356	0.878
YBL044W	0.707	0.607
YBL045C	0.953	0.71
YBL046W	0.387	0.314
YBL047C	0.502	0.426
YBL048W	1.094	0.676
